# ************************************										
# Regatta Timing Export File										
# Generated on 03/25/22										
# Rules: 										
# 	All Data Copyright by Regatta Timing (C) 2000-2022									
# 	Unless otherwise noted									
# ************************************										
bowNumber	eventCode	eventName	entryName	avgAge	strokeName	orgName	officialTime	resultStatus	eventPercent	top5Percent
4	8	Mens Masters D 8+ (50-54) Founders Trophy	Ex Nemo	50		ex nemo	06:48.5	OK	0.42	TRUE
2	8	Mens Masters D 8+ (50-54) Founders Trophy	North Dakota	51	"FROST, D."	north dakota	06:57.1	OK	2.54	TRUE
3	8	Mens Masters D 8+ (50-54) Founders Trophy	Texas RC	50		texas rowing center	07:00.6	OK	3.39	TRUE
5	8	Mens Masters D 8+ (50-54) Founders Trophy	East Bay	53	"Demorest, A."	east bay	07:35.4	OK	11.96	FALSE
1	9	Womens Masters E 8+ (55-59) Kearney Johnston Cup	Endeavor Racing Alliance	56	"Friel, H."	endeavor racing alliance	08:06.4	OK	0	TRUE
2	9	Womens Masters E 8+ (55-59) Kearney Johnston Cup	Long Beach	59		long beach	08:51.4	OK	9.26	FALSE
4	9	Womens Masters E 8+ (55-59) Kearney Johnston Cup	San Diego RC	58	"Pili, D."	san diego rc	09:21.9	OK	15.53	FALSE
3	9	Womens Masters E 8+ (55-59) Kearney Johnston Cup	ZLAC	58		zlac	09:37.6	OK	18.75	FALSE
1	10	Mens Masters E 8+ (55-59) Stewards Cup	Kent Mitchell	55	"Still, M."	kent mitchell	06:57.0	OK	0	TRUE
2	10	Mens Masters E 8+ (55-59) Stewards Cup	San Diego	52	"Kapicka, M."	san diego	07:02.0	OK	1.2	TRUE
3	10	Mens Masters E 8+ (55-59) Stewards Cup	Station L	55	"Glasfeld, A."	station l	07:11.8	OK	3.56	TRUE
1	11	Womens Concept2 Youth 4x	Redwood Scullers A	17	"Phipps, C."	redwood scullers	07:31.0	OK	0	TRUE
2	11	Womens Concept2 Youth 4x	Newport Sea Base A	17		newport sea base rowing	07:50.0	OK	4.21	TRUE
5	11	Womens Concept2 Youth 4x	Los Gatos B	17		los gatos	07:51.5	OK	4.53	TRUE
3	11	Womens Concept2 Youth 4x	Texas RC	17		texas rowing center	08:03.5	OK	7.19	FALSE
4	11	Womens Concept2 Youth 4x	Lake Las Vegas	18		lake las vegas rowing club	08:37.4	OK	14.72	FALSE
2	12	Womens Concept2 Youth 4x	Los Gatos A	18		los gatos	07:40.7	OK	0	TRUE
1	12	Womens Concept2 Youth 4x	Long Beach Junior Crew	18		long beach junior crew	07:48.7	OK	1.72	TRUE
3	12	Womens Concept2 Youth 4x	Norcal Crew	17		norcal crew	08:01.1	OK	4.42	TRUE
4	12	Womens Concept2 Youth 4x	Maritime RC B	17		maritime rowing club	08:04.1	OK	5.08	FALSE
6	12	Womens Concept2 Youth 4x	Redwood Scullers C	17	"Bollyky, G."	redwood scullers	08:09.2	OK	6.17	FALSE
5	12	Womens Concept2 Youth 4x	RowLA	17	"Goldstein, E."	rowla	08:16.9	OK	7.84	FALSE
1	13	Womens Concept2 Youth 4x	Maritime RC A	18		maritime rowing club	07:52.2	OK	0	TRUE
2	13	Womens Concept2 Youth 4x	Redwood Scullers B	17	"Ha, A."	redwood scullers	07:53.5	OK	0.28	TRUE
6	13	Womens Concept2 Youth 4x	Newport Sea Base B	17		newport sea base rowing	08:19.5	OK	5.77	FALSE
4	13	Womens Concept2 Youth 4x	Casitas Rowing	19		casitas rowing	08:20.6	OK	6.01	FALSE
3	13	Womens Concept2 Youth 4x	Austin	17	"Apostolakis, A."	austin	08:44.0	OK	10.97	FALSE
5	13	Womens Concept2 Youth 4x	Community Rowing SD	16		community rowing sd	12:24.1	OK	57.57	FALSE
1	14	Mens Youth 4x	Newport Sea Base A	22		newport sea base rowing	06:38.3	OK	0	TRUE
2	14	Mens Youth 4x	Artemis	17		artemis	06:56.0	OK	4.45	TRUE
3	14	Mens Youth 4x	Capital	17		capital	07:02.0	OK	5.95	FALSE
5	14	Mens Youth 4x	Redwood Scullers B	17	"Perlroth, A."	redwood scullers	07:03.6	OK	6.35	FALSE
4	14	Mens Youth 4x	Maritime RC B	17		maritime rowing club	07:10.8	OK	8.17	FALSE
6	14	Mens Youth 4x	Texas RC B	17		texas rowing center	07:38.1	OK	15	FALSE
1	15	Mens Youth 4x	Maritime RC A	18		maritime rowing club	06:47.2	OK	0	TRUE
2	15	Mens Youth 4x	Redwood Scullers A	17	"Vaksman, C."	redwood scullers	06:49.6	OK	0.59	TRUE
3	15	Mens Youth 4x	Texas RC A	17		texas rowing center	06:53.8	OK	1.62	TRUE
5	15	Mens Youth 4x	Los Gatos B	18	"Lasso, A."	los gatos	07:14.5	OK	6.72	FALSE
6	15	Mens Youth 4x	Newport Sea Base B	19		newport sea base rowing	07:23.1	OK	8.82	FALSE
4	15	Mens Youth 4x	Austin	17	"Miguel, R."	austin	07:36.0	OK	11.99	FALSE
1	16	Mens Youth 4x	Los Gatos A	17	"Kramer, M."	los gatos	06:44.2	OK	0	TRUE
2	16	Mens Youth 4x	Long Beach Junior Crew	17	"Griffin, T."	long beach junior crew	06:49.5	OK	1.31	TRUE
3	16	Mens Youth 4x	Casitas Rowing	17		casitas rowing	07:00.9	OK	4.14	TRUE
4	16	Mens Youth 4x	OARS	17		oars	07:01.2	OK	4.21	TRUE
6	16	Mens Youth 4x	River City	17	"Hoernlein, T."	river city	07:32.9	OK	12.06	FALSE
5	16	Mens Youth 4x	Lake Las Vegas	17		lake las vegas rowing club	07:46.9	OK	15.51	FALSE
1	17	Womens U16 8+	Marin	14	"Ellington, B."	marin	07:42.8	OK	0	TRUE
3	17	Womens U16 8+	Newport Sea Base	14		newport sea base rowing	08:12.4	OK	6.4	FALSE
2	17	Womens U16 8+	Norcal Crew	14		norcal crew	08:16.4	OK	7.27	FALSE
4	17	Womens U16 8+	CCHS Crew	15	"Galluccio, S."	cchs crew	08:47.1	OK	13.89	FALSE
1	18	Mens U16 8+ Rose Cup	Marin	14	"Fasano, N."	marin	06:52.0	OK	0	TRUE
2	18	Mens U16 8+ Rose Cup	Pacific	19		pacific	06:58.6	OK	1.59	TRUE
5	18	Mens U16 8+ Rose Cup	Long Beach Junior Crew	15	"Price, K."	long beach junior crew	07:23.3	OK	7.59	FALSE
3	18	Mens U16 8+ Rose Cup	Norcal Crew	14		norcal crew	07:44.6	OK	12.75	FALSE
4	18	Mens U16 8+ Rose Cup	Dallas United	14		dallas united crew	08:12.3	OK	19.47	FALSE
1	19	Womens U16 Ulster Challenge Cup 4x+	Maritime RC	15		maritime rowing club	08:22.3	OK	0	TRUE
2	19	Womens U16 Ulster Challenge Cup 4x+	Redwood Scullers	14	"Naveen, A."	redwood scullers	08:47.8	OK	5.08	TRUE
3	19	Womens U16 Ulster Challenge Cup 4x+	Norcal Crew	15		norcal crew	10:17.9	OK	23.02	FALSE
3	20	Mens U16 4x+	Newport Sea Base	14		newport sea base rowing	07:44.7	OK	0	TRUE
1	20	Mens U16 4x+	OARS	24		oars	07:54.4	OK	2.1	TRUE
4	20	Mens U16 4x+	Lake Las Vegas	14		lake las vegas rowing club	08:16.4	OK	6.82	FALSE
5	20	Mens U16 4x+	CCHS Crew	15	"MacNab, J."	cchs crew	08:18.8	OK	7.35	FALSE
2	20	Mens U16 4x+	Norcal Crew	14		norcal crew	08:19.2	OK	7.44	FALSE
1	21	Womens U17 4x	Redwood Scullers A	15	"PETRI, O."	redwood scullers	07:46.8	OK	0	TRUE
2	21	Womens U17 4x	Los Gatos	16	"Sivi, A."	los gatos	07:58.9	OK	2.58	TRUE
3	21	Womens U17 4x	Texas RC	15		texas rowing center	08:21.0	OK	7.31	FALSE
4	21	Womens U17 4x	Norcal Crew	16		norcal crew	08:22.3	OK	7.6	FALSE
2	22	Womens U17 4x	Connecticut	16		connecticut	07:59.8	OK	0	TRUE
3	22	Womens U17 4x	Redwood Scullers B	16	"Khawaja, F."	redwood scullers	08:18.4	OK	3.87	TRUE
1	22	Womens U17 4x	Maritime RC	15		maritime rowing club	08:30.3	OK	6.35	FALSE
4	22	Womens U17 4x	Lake Las Vegas	15		lake las vegas rowing club	08:48.9	OK	10.24	FALSE
1	23	Mens U17 4x	Maritime RC A	16		maritime rowing club	06:52.0	OK	0	TRUE
2	23	Mens U17 4x	Los Gatos A	16	"Shetler, L."	los gatos	07:01.9	OK	2.41	TRUE
4	23	Mens U17 4x	River City	15	"Davids, B."	river city	07:26.5	OK	8.38	FALSE
3	23	Mens U17 4x	Austin	15	"Engler, G."	austin	07:48.5	OK	13.73	FALSE
3	24	Mens U17 4x	Maritime RC B	16		maritime rowing club	07:05.6	OK	0	TRUE
2	24	Mens U17 4x	Redwood Scullers	15	"Gurenkov, D."	redwood scullers	07:12.2	OK	1.54	TRUE
1	24	Mens U17 4x	OARS	15		oars	07:20.3	OK	3.45	TRUE
4	24	Mens U17 4x	Los Gatos B	16	"Yoo, D."	los gatos	07:29.9	OK	5.7	FALSE
1	25	"Mens Masters 8+ H, I (70+)"	Kent Mitchell (H)	70		kent mitchell	08:00.6	OK	0	TRUE
2	25	"Mens Masters 8+ H, I (70+)"	San Diego RC (H)	72		san diego rc	09:10.1	OK	14.46	FALSE
1	26	Womens Collegiate Varsity Jessop-Whittier Cup Invitational	Texas Austin	21		texas austin	06:43.8	OK	0	TRUE
2	26	Womens Collegiate Varsity Jessop-Whittier Cup Invitational	California	21		california	06:48.0	OK	1.02	TRUE
4	26	Womens Collegiate Varsity Jessop-Whittier Cup Invitational	Washington	23	"Cossill, E."	washington	06:56.6	OK	3.17	TRUE
5	26	Womens Collegiate Varsity Jessop-Whittier Cup Invitational	USC	22		usc women	06:59.0	OK	3.74	TRUE
3	26	Womens Collegiate Varsity Jessop-Whittier Cup Invitational	UCLA	21		ucla	07:07.1	OK	5.76	FALSE
3	27	Womens Grace Rett Memorial Collegiate Varsity DII/III/Club	UC Santa Barbara	21		uc santa barbara	07:42.0	OK	0	TRUE
2	27	Womens Grace Rett Memorial Collegiate Varsity DII/III/Club	Purdue	22		purdue	07:47.2	OK	1.13	TRUE
1	27	Womens Grace Rett Memorial Collegiate Varsity DII/III/Club	U of Calgary RC	24		u of calgary rc	08:10.9	OK	6.24	FALSE
4	27	Womens Grace Rett Memorial Collegiate Varsity DII/III/Club	Colorado	20		colorado	08:18.0	OK	7.78	FALSE
1	28	Womens Collegiate Varsity UCSD Health Cal Cup	San Diego	21		san diego	07:14.1	OK	0	TRUE
3	28	Womens Collegiate Varsity UCSD Health Cal Cup	Oklahoma	22		oklahoma	07:15.8	OK	0.38	TRUE
4	28	Womens Collegiate Varsity UCSD Health Cal Cup	UC San Diego	20		uc san diego	07:21.3	OK	1.65	TRUE
6	28	Womens Collegiate Varsity UCSD Health Cal Cup	Old Dominion	22	"Carlisle, A."	old dominion - women	07:23.4	OK	2.13	TRUE
7	28	Womens Collegiate Varsity UCSD Health Cal Cup	MIT (LTWT)	21	"Love, K."	mit	07:26.0	OK	2.75	TRUE
2	28	Womens Collegiate Varsity UCSD Health Cal Cup	Bates	21		bates college	07:26.2	OK	2.8	TRUE
5	28	Womens Collegiate Varsity UCSD Health Cal Cup	Marist	21		marist	07:31.7	OK	4.05	TRUE
2	29	Womens Collegiate Varsity UCSD Health Cal Cup	Stanford			stanford - women	06:55.7	OK	0	TRUE
1	29	Womens Collegiate Varsity UCSD Health Cal Cup	Gonzaga	20		gonzaga	06:58.8	OK	0.75	TRUE
3	29	Womens Collegiate Varsity UCSD Health Cal Cup	Sacramento St	22	"YOUNG, H."	sacramento state	07:12.4	OK	4.03	TRUE
4	29	Womens Collegiate Varsity UCSD Health Cal Cup	MIT	20		mit	07:20.3	OK	5.92	FALSE
6	29	Womens Collegiate Varsity UCSD Health Cal Cup	Loyola Marymount	21		loyola marymount	07:25.6	OK	7.19	FALSE
5	29	Womens Collegiate Varsity UCSD Health Cal Cup	Portland	21		university of portland	07:25.9	OK	7.27	FALSE
7	29	Womens Collegiate Varsity UCSD Health Cal Cup	SeattleU	21	"Logan, C."	seattleu	07:42.5	OK	11.25	FALSE
2	33	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	USC	19		usc women	07:39.4	OK	0	TRUE
3	33	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	Washington	21	"McNamara-Smith, C."	washington	07:49.5	OK	2.2	TRUE
4	33	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	Oklahoma	22		oklahoma	08:05.7	OK	5.74	FALSE
1	33	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	San Diego	21		san diego	08:12.4	OK	7.19	FALSE
5	33	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	UC San Diego	20		uc san diego	08:33.2	OK	11.72	FALSE
7	33	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	Old Dominion	22	"Hoff, A."	old dominion - women	08:39.5	OK	13.08	FALSE
6	33	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	Portland	20		university of portland	08:43.7	OK	14.01	FALSE
1	34	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	Texas Austin	29		texas austin	07:35.3	OK	0	TRUE
2	34	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	California	20		california	07:41.9	OK	1.45	TRUE
3	34	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	Gonzaga	19		gonzaga	08:03.7	OK	6.23	FALSE
4	34	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	UCLA	19		ucla	08:09.1	OK	7.41	FALSE
6	34	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	MIT	23		mit	08:27.8	OK	11.52	FALSE
5	34	Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup	Sacramento St	19	"Nixon, B."	sacramento state	08:28.4	OK	11.67	FALSE
2	35	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	California	20		california	06:55.2	OK	0	TRUE
1	35	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	USC	21		usc women	06:55.7	OK	0.12	TRUE
3	35	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	UCLA	21		ucla	07:13.4	OK	4.38	TRUE
4	35	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	Oklahoma	22		oklahoma	07:19.8	OK	5.93	FALSE
5	35	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	San Diego	20		san diego	07:25.9	OK	7.41	FALSE
6	35	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	Sacramento St	20	"Goddard, W."	sacramento state	07:27.9	OK	7.89	FALSE
7	35	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	Marist	21		marist	07:37.9	OK	10.3	FALSE
8	35	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	Portland	19		university of portland	07:39.4	OK	10.65	FALSE
1	36	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	Texas Austin	21		texas austin	06:30.9	OK	0	TRUE
2	36	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	Washington	22	"Bryant, M."	washington	06:34.1	OK	0.83	TRUE
3	36	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	Stanford	21		stanford - women	06:48.0	OK	4.37	TRUE
4	36	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	Gonzaga	21		gonzaga	06:48.8	OK	4.59	TRUE
6	36	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	UC San Diego	20		uc san diego	06:59.8	OK	7.41	FALSE
8	36	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	Loyola Marymount	21		loyola marymount	07:01.9	OK	7.94	FALSE
7	36	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	MIT	20		mit	07:07.0	OK	9.25	FALSE
5	36	Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy	Bates	20		bates college	07:12.9	OK	10.76	FALSE
4	37	Mens Collegiate 2V Sharp Memorial Cup	Purdue	21		purdue	06:39.4	OK	0	TRUE
2	37	Mens Collegiate 2V Sharp Memorial Cup	Gonzaga	19		gonzaga	06:40.9	OK	0.37	TRUE
1	37	Mens Collegiate 2V Sharp Memorial Cup	San Diego	21		san diego	06:42.5	OK	0.77	TRUE
3	37	Mens Collegiate 2V Sharp Memorial Cup	MIT	20		mit	06:44.0	OK	1.14	TRUE
5	37	Mens Collegiate 2V Sharp Memorial Cup	UCLA	21		ucla	06:56.2	OK	4.21	TRUE
2	38	Mens Collegiate 2V Sharp Memorial Cup	UC San Diego	22		uc san diego	06:28.5	OK	0	TRUE
1	38	Mens Collegiate 2V Sharp Memorial Cup	Marist	21		marist	06:33.9	OK	1.37	TRUE
4	38	Mens Collegiate 2V Sharp Memorial Cup	Marietta	21	"McWhite, J."	marietta college	06:41.8	OK	3.41	TRUE
3	38	Mens Collegiate 2V Sharp Memorial Cup	Bates	21		bates college	06:43.3	OK	3.81	TRUE
5	38	Mens Collegiate 2V Sharp Memorial Cup	Colorado	22		colorado		DNS	null	FALSE
1	39	Womens Collegiate Novice Laurel Korholz Perpetual Trophy	Washington	19	"Fehling, B."	washington	07:14.4	OK	0	TRUE
2	39	Womens Collegiate Novice Laurel Korholz Perpetual Trophy	UCLA	19		ucla	07:21.8	OK	1.7	TRUE
3	39	Womens Collegiate Novice Laurel Korholz Perpetual Trophy	British Columbia	19		british columbia	07:30.2	OK	3.63	TRUE
5	39	Womens Collegiate Novice Laurel Korholz Perpetual Trophy	San Diego	19		san diego	07:35.1	OK	4.76	TRUE
6	39	Womens Collegiate Novice Laurel Korholz Perpetual Trophy	Oklahoma	20		oklahoma	07:35.2	OK	4.79	TRUE
4	39	Womens Collegiate Novice Laurel Korholz Perpetual Trophy	Loyola Marymount	20		loyola marymount	08:15.7	OK	14.1	FALSE
1	40	Mens Collegiate Novice Derek Guelker Memorial Cup	Orange Coast	19		orange coast	06:50.3	OK	0	TRUE
2	40	Mens Collegiate Novice Derek Guelker Memorial Cup	Loyola Marymount	20		loyola marymount	07:12.0	OK	5.29	FALSE
3	40	Mens Collegiate Novice Derek Guelker Memorial Cup	UC Santa Barbara	20		uc santa barbara	07:15.1	OK	6.06	FALSE
4	40	Mens Collegiate Novice Derek Guelker Memorial Cup	Long Beach St	22		long beach state rowing	07:20.0	OK	7.24	FALSE
5	40	Mens Collegiate Novice Derek Guelker Memorial Cup	SDSU - Men	21		sdsu - men	07:26.3	OK	8.78	FALSE
1	41	Mens Collegiate Novice Derek Guelker Memorial Cup	UCLA	21		ucla	06:43.4	OK	0	TRUE
3	41	Mens Collegiate Novice Derek Guelker Memorial Cup	Southern California	19	"Labounko, T."	southern california	06:48.7	OK	1.31	TRUE
2	41	Mens Collegiate Novice Derek Guelker Memorial Cup	U of Calgary RC	20		u of calgary rc	06:55.5	OK	3.02	TRUE
4	41	Mens Collegiate Novice Derek Guelker Memorial Cup	UC Davis	19	"Mohamad Khani, A."	uc davis	06:58.7	OK	3.79	TRUE
5	41	Mens Collegiate Novice Derek Guelker Memorial Cup	Colorado	23		colorado	07:36.2	OK	13.1	FALSE
2	43	M/W/MX PR 8+	Athletes Without LimitsCRI	43	"Delsordo, A."		07:27.8	OK	0	TRUE
1	43	M/W/MX PR 8+	Freedom Rows/USRowing/Detroit BC/Atlanta/OKC Riversport	53	"Campbell, R."	Unaffiliated	08:59.3	OK	20.45	FALSE
3	43	M/W/MX PR 8+	Freedom Rows/USRowing/San Diego RC/OKC Riversport	50	"Cao, K."	Unaffiliated	09:42.3	OK	30.04	FALSE
1	44	Mens Masters 8+ Club Champ	Cambridge	61	"Pierce, J."	cambridge	06:11.7	OK	0	TRUE
5	44	Mens Masters 8+ Club Champ	San Diego	60	"Kapicka, M."	san diego	06:28.0	OK	4.38	TRUE
3	44	Mens Masters 8+ Club Champ	Sammamish	49	"Senenko, W."	sammamish rowing association	06:30.9	OK	5.17	FALSE
6	44	Mens Masters 8+ Club Champ	Riverside	27		riverside	06:31.6	OK	5.35	FALSE
4	44	Mens Masters 8+ Club Champ	Crimson Death Barge	51	"Caughey, T."	crimson death barge	06:38.8	OK	7.3	FALSE
2	44	Mens Masters 8+ Club Champ	Potomac	27	"Merchant, W."	potomac	06:48.4	OK	9.87	FALSE
8	44	Mens Masters 8+ Club Champ	Potomac	42	"DeLo, C."	potomac	06:51.3	OK	10.66	FALSE
7	44	Mens Masters 8+ Club Champ	BIAC	28		biac	06:59.0	OK	12.74	FALSE
5	45	Mens Masters 8+ Club Champ	Marin	57	"Aguiar, M."	marin	06:13.2	OK	0	TRUE
2	45	Mens Masters 8+ Club Champ	Rocky Mountain	62	"Springer, G."	rocky mountain	06:20.6	OK	1.99	TRUE
6	45	Mens Masters 8+ Club Champ	North Dakota	51	"McCabe, C."	north dakota	06:22.7	OK	2.54	TRUE
3	45	Mens Masters 8+ Club Champ	East Bay	38	"Scott, H."	east bay	06:27.7	OK	3.9	TRUE
1	45	Mens Masters 8+ Club Champ	Texas RC	46		texas rowing center	06:31.3	OK	4.86	TRUE
4	45	Mens Masters 8+ Club Champ	Lake Union	31	"Tan, A."	lake union	06:34.8	OK	5.79	FALSE
8	45	Mens Masters 8+ Club Champ	Riverside	27		riverside	06:39.9	OK	7.15	FALSE
