Sort Order,Place,Event Type,Event,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
620,1,American Specialty Health Cal Cup,Men's Cal Cup Grand Final,OCC,06:25.40,Ashley Thomas,Brian Moran,J.T. Eger,Steve Egner,Wes Temple,Jake Carr,Roma Rukosuyev,Tyler Wilcox,Danny Johnson
621,2,,Men's Cal Cup Grand Final,Minnesota,06:29.37,,,,,,,,,
622,3,,Men's Cal Cup Grand Final,UCSD,06:36.25,,,,,,,,,
623,4,,Men's Cal Cup Grand Final,UCI,06:36.45,,,,,,,,,
624,5,,Men's Cal Cup Grand Final,Colorado,06:40.70,,,,,,,,,
625,6,,Men's Cal Cup Grand Final,SDSU,06:47.15,,,,,,,,,
626,,,Men's Cal Cup Grand Final,,,,,,,,,,,
627,1,Mesa Distributing/Samuel Adams Cal Cup,Women's Cal Cup Grand Final,Loyola,07:12.70,Blake Boyer,Sarah Daum,Erin Ludwig,Beth Henderson,Vanessa Glendenning,Naomi Hoogesteger,Lot Keijzer,Kathryn Holzberger,Caitlin McLain
628,2,,Women's Cal Cup Grand Final,Miami,07:16.65,,,,,,,,,
629,3,,Women's Cal Cup Grand Final,UCLA,07:20.43,,,,,,,,,
630,4,,Women's Cal Cup Grand Final,Clemson,07:22.89,,,,,,,,,
631,5,,Women's Cal Cup Grand Final,Navy,07:24.35,,,,,,,,,
632,6,,Women's Cal Cup Grand Final,Louisville,07:32.93,,,,,,,,,
633,,,Women's Cal Cup Grand Final,,,,,,,,,,,
634,1,Copley Cup,Copley Cup Grand Final,Cal,06:09.40,Shawn Ghatan,Max Frasca,Rob Austerman,Vaclav Vochoska,Troy Kepper,Gary Champanage,Jesse Bauman,Mike Holbrook,Peter Maiden
635,2,,Copley Cup Grand Final,Northeastern,06:11.93,,,,,,,,,
636,3,,Copley Cup Grand Final,Washington,06:17.39,,,,,,,,,
637,4,,Copley Cup Grand Final,Temple,06:22.08,,,,,,,,,
638,5,,Copley Cup Grand Final,Oregon State,06:24.97,,,,,,,,,
639,6,,Copley Cup Grand Final,Stanford,06:27.69,,,,,,,,,
640,,,Copley Cup Grand Final,,,,,,,,,,,
641,1,Jessop-Whittier Cup,Jessop-Whittier Cup Grand Final,Cal,06:57.10,Penny Hitari,Erin Reinhardt,Jelena Djukic,Jessica Patak,Karin Cliston,Kaylan Schilder,Lana Terheyden,Matha Helgeland,Shauna Walchenbach
642,2,,Jessop-Whittier Cup Grand Final,Washington,07:00.63,,,,,,,,,
643,3,,Jessop-Whittier Cup Grand Final,Tenn,07:02.68,,,,,,,,,
644,4,,Jessop-Whittier Cup Grand Final,Wash State,07:04.10,,,,,,,,,
645,5,,Jessop-Whittier Cup Grand Final,Wisconsin,07:06.02,,,,,,,,,
646,6,,Jessop-Whittier Cup Grand Final,USC,07:09.95,,,,,,,,,
647,7,,Jessop-Whittier Cup Grand Final,Notre Dame,07:16.90,,,,,,,,,
