Year,Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
2022,7,,"Womens Masters D 8+ (50-54) Waddell & Reed, Inc. Cup",,6,Long Beach,,,"Bonuso, N.",,,,,,,,,
2022,8,,Mens Masters D 8+ (50-54) Founders Trophy,,1,Unaff. (CAN),06:46.8,,"Forgeron, M.",,,,,,,,,
2022,8,,Mens Masters D 8+ (50-54) Founders Trophy,,2,Ex Nemo,06:48.5,,,,,,,,,,,
2022,8,,Mens Masters D 8+ (50-54) Founders Trophy,,3,North Dakota,06:57.1,,"FROST, D.",,,,,,,,,
2022,8,,Mens Masters D 8+ (50-54) Founders Trophy,,4,Texas RC,07:00.6,,,,,,,,,,,
2022,8,,Mens Masters D 8+ (50-54) Founders Trophy,,5,East Bay,07:35.4,,"Demorest, A.",,,,,,,,,
2022,9,,Womens Masters E 8+ (55-59) Kearney Johnston Cup,,1,Endeavor Racing Alliance,08:06.4,,"Friel, H.",,,,,,,,,
2022,9,,Womens Masters E 8+ (55-59) Kearney Johnston Cup,,2,Long Beach,08:51.4,,,,,,,,,,,
2022,9,,Womens Masters E 8+ (55-59) Kearney Johnston Cup,,3,San Diego RC,09:21.9,,"Pili, D.",,,,,,,,,
2022,9,,Womens Masters E 8+ (55-59) Kearney Johnston Cup,,4,ZLAC,09:37.6,,,,,,,,,,,
2022,10,,Mens Masters E 8+ (55-59) Stewards Cup,,1,Kent Mitchell,06:57.0,,"Still, M.",,,,,,,,,
2022,10,,Mens Masters E 8+ (55-59) Stewards Cup,,2,San Diego,07:02.0,,"Kapicka, M.",,,,,,,,,
2022,10,,Mens Masters E 8+ (55-59) Stewards Cup,,3,Station L,07:11.8,,"Glasfeld, A.",,,,,,,,,
2022,11,,Womens Concept2 Youth 4x,,1,Redwood Scullers A,07:31.0,,"Phipps, C.",,,,,,,,,
2022,11,,Womens Concept2 Youth 4x,,2,Newport Sea Base A,07:50.0,,,,,,,,,,,
2022,11,,Womens Concept2 Youth 4x,,3,Los Gatos B,07:51.5,,,,,,,,,,,
2022,11,,Womens Concept2 Youth 4x,,4,Texas RC,08:03.5,,,,,,,,,,,
2022,11,,Womens Concept2 Youth 4x,,5,Lake Las Vegas,08:37.4,,,,,,,,,,,
2022,12,,Womens Concept2 Youth 4x,,1,Los Gatos A,07:40.7,,,,,,,,,,,
2022,12,,Womens Concept2 Youth 4x,,2,Long Beach Junior Crew,07:48.7,,,,,,,,,,,
2022,12,,Womens Concept2 Youth 4x,,3,Norcal Crew,08:01.1,,,,,,,,,,,
2022,12,,Womens Concept2 Youth 4x,,4,Maritime RC B,08:04.1,,,,,,,,,,,
2022,12,,Womens Concept2 Youth 4x,,5,Redwood Scullers C,08:09.2,,"Bollyky, G.",,,,,,,,,
2022,12,,Womens Concept2 Youth 4x,,6,RowLA,08:16.9,,"Goldstein, E.",,,,,,,,,
2022,13,,Womens Concept2 Youth 4x,,1,Maritime RC A,07:52.2,,,,,,,,,,,
2022,13,,Womens Concept2 Youth 4x,,2,Redwood Scullers B,07:53.5,,"Ha, A.",,,,,,,,,
2022,13,,Womens Concept2 Youth 4x,,3,Newport Sea Base B,08:19.5,,,,,,,,,,,
2022,13,,Womens Concept2 Youth 4x,,4,Casitas Rowing,08:20.6,,,,,,,,,,,
2022,13,,Womens Concept2 Youth 4x,,5,Austin,08:44.0,,"Apostolakis, A.",,,,,,,,,
2022,13,,Womens Concept2 Youth 4x,,6,Community Rowing SD,12:24.1,,,,,,,,,,,
2022,14,,Mens Youth 4x,,1,Newport Sea Base A,06:38.3,,,,,,,,,,,
2022,14,,Mens Youth 4x,,2,Artemis,06:56.0,,,,,,,,,,,
2022,14,,Mens Youth 4x,,3,Capital,07:02.0,,,,,,,,,,,
2022,14,,Mens Youth 4x,,4,Redwood Scullers B,07:03.6,,"Perlroth, A.",,,,,,,,,
2022,14,,Mens Youth 4x,,5,Maritime RC B,07:10.8,,,,,,,,,,,
2022,14,,Mens Youth 4x,,6,Texas RC B,07:38.1,,,,,,,,,,,
2022,15,,Mens Youth 4x,,1,Maritime RC A,06:47.2,,,,,,,,,,,
2022,15,,Mens Youth 4x,,2,Redwood Scullers A,06:49.6,,"Vaksman, C.",,,,,,,,,
2022,15,,Mens Youth 4x,,3,Texas RC A,06:53.8,,,,,,,,,,,
2022,15,,Mens Youth 4x,,4,Los Gatos B,07:14.5,,"Lasso, A.",,,,,,,,,
2022,15,,Mens Youth 4x,,5,Newport Sea Base B,07:23.1,,,,,,,,,,,
2022,15,,Mens Youth 4x,,6,Austin,07:36.0,,"Miguel, R.",,,,,,,,,
2022,16,,Mens Youth 4x,,1,Los Gatos A,06:44.2,,"Kramer, M.",,,,,,,,,
2022,16,,Mens Youth 4x,,2,Long Beach Junior Crew,06:49.5,,"Griffin, T.",,,,,,,,,
2022,16,,Mens Youth 4x,,3,Casitas Rowing,07:00.9,,,,,,,,,,,
2022,16,,Mens Youth 4x,,4,OARS,07:01.2,,,,,,,,,,,
2022,16,,Mens Youth 4x,,5,River City,07:32.9,,"Hoernlein, T.",,,,,,,,,
2022,16,,Mens Youth 4x,,6,Lake Las Vegas,07:46.9,,,,,,,,,,,
