Year,Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
1973,,,Men’s Varsity 8+ (men’s races 2000 meters),,1,Washington,06:14.0,Ted Van Bronkhorst ,Dave Reese,Mark Noreluis,Fred Schoch,Bruce Beall,Mike Cole,Paul Julian,John Buse,Mike Bronson
1973,,,Men’s Varsity 8+ (men’s races 2000 meters),,2,Navy,06:15.8,,,,,,,,,
1973,,,Men’s Varsity 8+ (men’s races 2000 meters),,3,Long Beach State,06:23.6,,,,,,,,,
1973,,,Men’s Varsity 8+ (men’s races 2000 meters),,4,UCLA,06:25.0,,,,,,,,,
1973,,,Men’s Varsity 8+ (men’s races 2000 meters),,5,Loyola Marimont,06:27.0,,,,,,,,,
1973,,,Men’s Varsity 8+ (men’s races 2000 meters),,6,San Diego State,06:38.0,,,,,,,,,
1973,,,Men’s Junior Varsity 8+,,1,Washington,06:23.1,Jim Maxwell,George Noden,DeGraff Berkey,"Peter Suni, ",Tom Henry,Bill Mickleson,Jim Brinsfield,Norm Green,Tom Giovanelli
1973,,,Men’s Junior Varsity 8+,,2,Navy,06:25.8,,,,,,,,,
1973,,,Men’s Junior Varsity 8+,,3,Orange Coast College,06:40.2,,,,,,,,,
1973,,,Men’s Junior Varsity 8+,,4,UCLA,06:43.6,,,,,,,,,
1973,,,Men’s Junior Varsity 8+,,5,Long Beach State,06:43.9,,,,,,,,,
1973,,,Men’s Junior Varsity 8+,,6,Loyola,06:59.2,,,,,,,,,
1973,,,Men’s freshman 8+,,1,Washington,06:19.9,Chris Wells,Ross Parker,Stu Johnson,Mark Umlauf,Jim Wiegand,Steve Smith,Mark Canfield,Mark Olason,Chris Allsopp
1973,,,Men’s freshman 8+,,2,Navy,06:22.2,,,,,,,,,
1973,,,Men’s freshman 8+,,3,Orange Coast College,06:34.7,,,,,,,,,
1973,,,Men’s freshman 8+,,4,UCLA,06:39.0,,,,,,,,,
1973,,,Men’s freshman 8+,,5,UC San Diego,06:45.3,,,,,,,,,
1973,,,Men’s freshman 8+,,6,Loyola,07:01.7,,,,,,,,,
1973,,,Men’s Lightweight 8+,,1,UCLA,06:45.5,Tim Robun,Larry Daugherty,Phil Goulding,Dave Podsadecki,", Ted Maynard",Larry Wolfley,Martin Rede,Richard Eberle,Chuck Rinck
1973,,,Men’s Lightweight 8+,,2,Long Beach State,06:47.6,,,,,,,,,
1973,,,Men’s Lightweight 8+,,3,UC Santa Barbara,06:53.7,,,,,,,,,
1973,,,Men’s Lightweight 8+,,4,UC San Diego,07:05.9,,,,,,,,,
1973,,,Men’s Varsity 4+,,1,San Diego State,07:20.5,Mike Lehmann ,Clint Reynolds,Scott Merritt,Kim Skaalen,Dan Escoleda,,,,
1973,,,Men’s Varsity 4+,,2,Navy,07:23.5,,,,,,,,,
1973,,,Men’s Varsity 4+,,3,UCLA,07:54.9,,,,,,,,,
1973,,,Men’s Varsity 4+,,4,Orange Coast College,07:55.5,,,,,,,,,
1973,,,Men’s Varsity 4+,,5,Long Beach State,08:06.3,,,,,,,,,
1973,,,Mens’s Freshman 4+,,1,UCLA,07:40.0,Lee Dintsman,John Shaw,Bob Barry,John Dvorak,Stuart Simon,,,,
1973,,,Mens’s Freshman 4+,,2,UC San Diego,07:41.0,,,,,,,,,
1973,,,Mens’s Freshman 4+,,3,San Diego State,07:47.9,,,,,,,,,
1973,,,Mens’s Freshman 4+,,4,Long Beach State A,07:57.2,,,,,,,,,
1973,,,Men’s Lightweight 4+,,5,Long Beach State B,08:00.4,,,,,,,,,
1973,,,Men’s Lightweight 4+,,1,UCLA,07:46.2,Bob Martinez,Rick Zevnik,Jim Koury,Andy Jacobs,Howard Weber,,,,
1973,,,Men’s Lightweight 4+,,2,UC San Diego,07:47.3,,,,,,,,,
1973,,,Men’s Lightweight 4+,,3,Long Beach State,07:59.8,,,,,,,,,
1973,,,Open 2x and 2-,,1,Long Beach RA  D (2-),07:55.4,,,,,,,,,
1973,,,Open 2x and 2-,,2,LBRA C (2x),08:00.5,,,,,,,,,
1973,,,Open 2x and 2-,,3,LBRA B (2x),08:05.7,,,,,,,,,
1973,,,Open 2x and 2-,,4,San Diego R.C. (2x),08:06.7,,,,,,,,,
1973,,,Open 2x and 2-,,5,LBRA A (2x),09:04.6,,,,,,,,,
1973,,,Men's Open 1x (1000 meters),,1,Sergei Sherbin ,04:24.4,,,,,,,,,
1973,,,Men's Open 1x (1000 meters),,2,Wendell Brown,04:28.6,,,,,,,,,
1973,,,Men's Open 1x (1000 meters),,3,Bob Stoddard,04:29.3,,,,,,,,,
1973,,,Men's Open 1x (1000 meters),,4,Dave Atwater SDRC,04:47.5,,,,,,,,,
1973,,,Men's Open 1x (1000 meters),,5,Vic Ziegler,No Time,,,,,,,,,
1973,,,Men's Open 1x (1000 meters),,6,Bob Scott LBRA,No Time,,,,,,,,,
1973,,,Women's Open 1x (Women's Races 1000 Meters),,1,Winnie Rich ,No Time,,,,,,,,,
1973,,,Women’s 8+ (Women's Races 1000 Meters),,1,Long Beach State,04:45.0,Kathy Nickerson ,Cindy Martinich,Dana Rogers,Pam Graham,Bev Bossard,Marti Ramos,Jane Loomis,Kathy Lemmon,Cindy Ferguson
1973,,,Women’s 8+ (Women's Races 1000 Meters),,2,UC Santa Barbara,04:52.5,,,,,,,,,
1973,,,Women’s 8+ (Women's Races 1000 Meters),,3,ZLAC,05:01.0,,,,,,,,,
1973,,,Women’s 8+ (Women's Races 1000 Meters),,4,UCLA,06:11.0,,,,,,,,,
1973,,,Women’s 4+ (Women's Races 1000 Meters),,1,Long Beach State,04:31.2,Marie Sanders ,Ann Voorhees,Shari Sprong,Jeanie Olson,Marianne Maloney,,,,
1973,,,Women’s 4+ (Women's Races 1000 Meters),,2,UCLA,04:38.7,,,,,,,,,
1973,,,Women’s 4+ (Women's Races 1000 Meters),,3,ZLAC A,04:50.5,,,,,,,,,
1973,,,Women’s 4+ (Women's Races 1000 Meters),,4,ZLAC B,04:53.8,,,,,,,,,
1973,,,Women’s 4+ (Women's Races 1000 Meters),,5,Long Beach State A,DQ,,,,,,,,,
1974,,,Mens Varsity 8+ (Men’s Races 2000 Meters),,1,Washington,06:09.0,Ted Van Bronkhorst ,Mike Cole,Fred Fox,Jim Brimsfield,Mark Noreliuse,Dave Reese,Tom Henry,Dwight Roesch,Gil Gamble
1974,,,Mens Varsity 8+ (Men’s Races 2000 Meters),,2,Wisconsin,06:11.2,,,,,,,,,
1974,,,Mens Varsity 8+ (Men’s Races 2000 Meters),,3,UC Irvine ,06:12.5,,,,,,,,,
1974,,,Mens Varsity 8+ (Men’s Races 2000 Meters),,4,Navy,06:20.1,,,,,,,,,
1974,,,Mens Varsity 8+ (Men’s Races 2000 Meters),,5,Long Beach State,06:24.9,,,,,,,,,
1974,,,Mens Varsity 8+ (Men’s Races 2000 Meters),,6,San Diego State,06:31.9,,,,,,,,,
1974,,,Mens Junior Varsity 8+,,1,Washington,06:19.8,Steve Thompson,George Narden,Stuart Johnson,Bill Pearce,Craig Rosenquist,Tom Giovanelli,Norm Miller,John Roberts,John Lindman
1974,,,Mens Junior Varsity 8+,,2,Orange Coast,06:27.7,,,,,,,,,
1974,,,Mens Junior Varsity 8+,,3,Navy,06:29.1,,,,,,,,,
1974,,,Mens Junior Varsity 8+,,4,Long Beach State,06:33.5,,,,,,,,,
1974,,,Mens Freshman 8+,,1,Washington,06:20.1,John Stillings,Mike Hess,Mithc Millar,Bob Grandy,Mike Wright,Tony Bonorforsch,Kris Schonberg,Ron Jackman,Doug Jones
1974,,,Mens Freshman 8+,,2,Orange Coast ,06:38.8,,,,,,,,,
1974,,,Mens Freshman 8+,,3,Long Beach State,06:41.3,,,,,,,,,
1974,,,Mens Lightweight 8+,,1,Long Beach State B ,06:45.4,Ann Houser ,Chuck Wright,Ken Durham,John Fletcher,Ted Beaty,Don Henderson,Roy Beard,Doug Corbett,Bob Rogen
1974,,,Mens Lightweight 8+,,2,UCLA,06:53.4,,,,,,,,,
1974,,,Mens Lightweight 8+,,3,San Diego State,07:08.5,,,,,,,,,
1974,,,Mens Lightweight 8+,,4,Long Beach State A,07:14.2,,,,,,,,,
1974,,,Mens Open 4+,,1,Wisconsin/Navy,07:25.5,,,,,,,,,
1974,,,Mens Open 4+,,3,San Diego State,07:30.6,,,,,,,,,
1974,,,Mens Open 4+,,4,UC San Diego,07:46.7,,,,,,,,,
1974,,,Mens Open 4+,,5,Long Beach State,08:03.3,,,,,,,,,
1974,,,Mens Freshman 4+,,1,Long Beach State A,07:34.0,,,,,,,,,
1974,,,Mens Freshman 4+,,2,Orange Coast,07:38.9,,,,,,,,,
1974,,,Mens Freshman 4+,,3,San Diego State,07:43.0,,,,,,,,,
1974,,,Mens Freshman 4+,,4,Long Beach State B,07:53.0,,,,,,,,,
1974,,,Mens Freshman 4+,,5,UC San Diego,07:54.0,,,,,,,,,
1974,,,Mens Lightweight 4+,,1,UCLA,07:42.6,Sue Coon ,John Gillwee,Howard Weber,George Beck,Mike Gallagher,,,,
1974,,,Mens Lightweight 4+,,2,Long Beach State B,07:45.6,,,,,,,,,
1974,,,Mens Lightweight 4+,,3,Long Beach State A,07:53.3,,,,,,,,,
1974,,,Mens Lightweight 4+,,4,UC Santa Barbara,08:03.8,,,,,,,,,
1974,,,Mens Open 1x,,1,"John Van Blom, Long Beach RA",08:19.0,,,,,,,,,
1974,,,Mens Open 1x,,2,"Bill Stout, LBRA",08:36.3,,,,,,,,,
1974,,,Mens Open 1x,,3,"Sergi Sherbin, LBRA",08:55.4,,,,,,,,,
1974,,,Mens Open 1x,,4,"Henry Livingston, San Diego RC",09:43.5,,,,,,,,,
1974,,,Mens Open 1x,,5,"Wendell Brown, UC San Diego",10.09.6,,,,,,,,,
1974,,,Mens Lightweight 1x,,1,"Peter Mallory, Long Beach RA",08:50.9,,,,,,,,,
1974,,,Mens Lightweight 1x,,2,"Bob Scott, San Diego RC",09:00.8,,,,,,,,,
1974,,,Mens Open 2x,,1,"Long Beach RA (John Van Blom, Bill Stout) ",07:12.2,,,,,,,,,
1974,,,Mens Open 2x,,2,"UC San Diego, (Reiman/Butler)",07:53.8,,,,,,,,,
1974,,,Mens Open 2x,,3,"LBRA, (Rich/Sherbin) ",08:06.6,,,,,,,,,
1974,,,Mens Open 2x,,4,"San Diego RC, (Johnston/Atwater)",08:33.8,,,,,,,,,
1974,,,Women’s Varsity 8+ (Women’s Races 1000 meters),,1,Long Beach State A ,04:00.8,Gloria Gray,Cindy Ferguson,Marti Ramos,Patti Thompson,Claudia Buckley,Nancy Shoemaker,Kathy Griffiths,Cindy Martinich,Pam Graham
1974,,,Women’s Varsity 8+ (Women’s Races 1000 meters),,2,Long Beach State B,04:14.0,,,,,,,,,
1974,,,Women’s Varsity 8+ (Women’s Races 1000 meters),,3,UC Santa Barbara,04:22.8,,,,,,,,,
1974,,,Womens Open 4+,,1,(deadheat) UCLA and Long Beach State,04:15.0,,,,,,,,,
1974,,,Womens Open 4+,,1,(deadheat) UCLA and Long Beach State,04:15.0,,,,,,,,,
1974,,,Womens Open 4+,,3,ZLAC B,04:23.1,,,,,,,,,
1974,,,Womens Open 4+,,4,ZLAC A,04:24.1,,,,,,,,,
1974,,,Womens Open 4+,,5,San Diego State,04:30.7,,,,,,,,,
1974,,,Womens Open 2x,,2,"LBRA (Joan Lind/Kim Fletcher), ",03:46.1,,,,,,,,,
1974,,,Womens Open 2x,,3,LBRA (Hartman/Hansen),03:54.0,,,,,,,,,
1974,,,Womens Open 2x,,4,LBRA (Loomis/McCloskey),03:56.3,,,,,,,,,
1974,,,Womens Open 2x,,5,LBRA (Krenn/Ayrs),04:09.2,,,,,,,,,
1974,,,Womens Open 2x,,6,LBRA (Rich/McIntire),04:11.9.,,,,,,,,,
1975,,,Men’s Varsity 8+ (Men’s Races 2000 Meters) ,,1,Harvard,06:14.6,Bruce Larson ,Al Shealy,Ron Shaw,Dick Cashin,John Brock,Tiff Wood,Hovey Kemp,Greg Stone,Blair Brook
1975,,,Men’s Varsity 8+ (Men’s Races 2000 Meters) ,,2,Washington,06:19.5,,,,,,,,,
1975,,,Men’s Varsity 8+ (Men’s Races 2000 Meters) ,,3,California,06:21.8,,,,,,,,,
1975,,,Men’s Varsity 8+ (Men’s Races 2000 Meters) ,,4,Wisconsin,06:23.1,,,,,,,,,
1975,,,Men’s Varsity 8+ (Men’s Races 2000 Meters) ,,5,UC Irvine,06:29.3,,,,,,,,,
1975,,,Men’s Varsity 8+ (Men’s Races 2000 Meters) ,,6,Navy,06:30.7,,,,,,,,,
1975,,,Men’s Varsity 8+ (Men’s Races 2000 Meters) ,,7,UCLA,06:51.2,,,,,,,,,
1975,,,Men’s Varsity 8+ (Men’s Races 2000 Meters) ,,8,British Columbia,06:57.3,,,,,,,,,
1975,,,Men’s Varsity 8+ (Men’s Races 2000 Meters) ,,9,Long Beach State,07:00.5,,,,,,,,,
1975,,,Men’s Varsity 8+ (Men’s Races 2000 Meters) ,,10,San Diego State,07:11.2,,,,,,,,,
1975,,,Men’s Varsity 8+ (Men’s Races 2000 Meters) ,,11,Nebraska,07:16.6,,,,,,,,,
1975,,,Men’s Junior Varsity 8+,,1,Washington,06:25.9,Steve Thompson ,Mike Hess,Degraff Brkey,Ross Parker,Gill Gamble,Steve Smith,Mitch Millar,Dana Wagner,Norm Miller
1975,,,Men’s Junior Varsity 8+,,2,Harvard,06:29.0,,,,,,,,,
1975,,,Men’s Junior Varsity 8+,,3,Orange Coast,06:36.2,,,,,,,,,
1975,,,Men’s Junior Varsity 8+,,4,California,06:38.0,,,,,,,,,
1975,,,Men’s Junior Varsity 8+,,5,UCLA,06:50.3,,,,,,,,,
1975,,,Men’s Junior Varsity 8+,,6,UC Irvine,06:58.8,,,,,,,,,
1975,,,Men’s Freshmen 8+,,1,Washington,06:24.2,Dave Dickhaus ,Greg Pritchett,Tom Harron,Roger Bowlin,Mark Tuller, Scott Donaldson,Bob Crawford,Bob Umflout,Mark Sawyer
1975,,,Men’s Freshmen 8+,,2,California,06:32.6,,,,,,,,,
1975,,,Men’s Freshmen 8+,,3,Orange Coast,06:34.3,,,,,,,,,
1975,,,Men’s Freshmen 8+,,4,UCLA,06:37.0,,,,,,,,,
1975,,,Men’s Freshmen 8+,,5,UC Santa Barbara,06:44.4,,,,,,,,,
1975,,,Men’s Freshmen 8+,,6,UC Irvine,06:46.0,,,,,,,,,
1975,,,Men’s Lightweight 8+,,1,California,06:24.4,Deanna Funnell ,Jerry Serventl,Don Bach,Michael Welch,Tom Coull,Sherman Little,Chris Thomas,Rich Alexander,Steve Azevedo
1975,,,Men’s Lightweight 8+,,2,UCLA,06:38.1,,,,,,,,,
1975,,,Men’s Lightweight 8+,,3,Long Beach State,06:41.4,,,,,,,,,
1975,,,Men’s Lightweight 8+,,4,San Diego State,07:02.9,,,,,,,,,
1975,,,Men’s Open 4+,,1,Wisconsin-Harvard ,07:32.8,Barbara Budwell ,Jim Kirsch,Doug Trosper,Tom Foley,Walt Bryzgornia,,,,
1975,,,Men’s Open 4+,,2,Mission Bay RA,07:36.0,,,,,,,,,
1975,,,Men’s Open 4+,,3,Motley RC,07:37.7,,,,,,,,,
1975,,,Men’s Open 4+,,4,UC Santa Barbara,07:50.5,,,,,,,,,
1975,,,Men’s Junior Varsity 4+,,1,Orange Coast ,07:23.2,Dick Sanders ,Chris Barbar,Mark Gordon,Jay Jones,Kevin Platte,,,,
1975,,,Men’s Junior Varsity 4+,,2,San Diego State,07:29.6,,,,,,,,,
1975,,,Men’s Junior Varsity 4+,,3,Long Beach State,07:45.8,,,,,,,,,
1975,,,Men’s Junior Varsity 4+,,4,California,07:52.6,,,,,,,,,
1975,,,Men’s Freshmen 4+,,1,Orange Coast ,07:07.7,Jerri Smith ,Bruce Tice,Ron Schmalfuss,John Taylor,Brian Ettlin,,,,
1975,,,Men’s Freshmen 4+,,2,UCLA,07:15.0,,,,,,,,,
1975,,,Men’s Freshmen 4+,,3,San Diego State,07:26.3,,,,,,,,,
1975,,,Men’s Freshmen 4+,,4,UC San Diego ,07:38.3,,,,,,,,,
1975,,,Men’s Freshmen 4+,,5,Long Beach State,07:42.0,,,,,,,,,
1975,,,Men’s Freshmen 4+,,6,UC Irvine,07:47.9,,,,,,,,,
1975,,,Open Lighweight 4+,,1,Long Beach RA ,07:10.7,,Scott Roop,John Fletcher,Peter Mallory,Rod Johnson,,,,
1975,,,Open Lighweight 4+,,2,UCLA,07:15.1,,,,,,,,,
1975,,,Open Lighweight 4+,,3,UC Santa Barbara,07:31.7,,,,,,,,,
1975,,,Open Lighweight 4+,,4,San Diego State,07:33.0,,,,,,,,,
1975,,,Open Lighweight 4+,,5,UC San Diego,07:35.0,,,,,,,,,
1975,,,Men’s Open 1x,,1,"John Van Blom, Long Beach RA",07:41.6,,,,,,,,,
1975,,,Men’s Open 1x,,2,"Mike Sullivan, UC Irvine",07:43.2,,,,,,,,,
1975,,,Men’s Open 1x,,3,"Bill Stout, LBRA",07:53.7,,,,,,,,,
1975,,,Men’s Open 1x,,4,"Bill Byrd, Navy",07:56.0,,,,,,,,,
1975,,,Men’s Open 1x,,5,"Chuck Leonard, LBRA",08:11.6,,,,,,,,,
1975,,,Men’s Open 1x,,6,"Jeff Law, Mission Bay RA",08:13.6,,,,,,,,,
1975,,,Open Lightweight 1x,,1,"John Fletcher, Long Beach RA",08:01.0,,,,,,,,,
1975,,,Open Lightweight 1x,,2,"Scott Roop, LBRA",08:08.0,,,,,,,,,
1975,,,Open Lightweight 1x,,3,"Peter Mallory, Mission Bay RA",08:16.6,,,,,,,,,
1975,,,Open Lightweight 1x,,4,"Ron Free, San Diego RC",08:56.9,,,,,,,,,
1975,,,Open Lightweight 1x,,5,"Dave Atwater, SDRC",09:02.0,,,,,,,,,
1975,,,Women’s Open 8+ (Women’s Races 1000 Meters),,1,Long Beach State ,03:50.2,Gloria Gray ,Claudia Schneider,Patty Thompson,", Maggie McGarry",Marti Ramos,Kathy Griffiths,Jane Barnes,Linda Midkiff,Dana Hansen
1975,,,Women’s Open 8+ (Women’s Races 1000 Meters),,2,UCLA,03:50.7,,,,,,,,,
1975,,,Women’s Open 8+ (Women’s Races 1000 Meters),,3,UC San Diego-Associated RC,03:54.8,,,,,,,,,
1975,,,Women’s Open 8+ (Women’s Races 1000 Meters),,4,UC Santa Barbara,03:57.8,,,,,,,,,
1975,,,Women’s Open 8+ (Women’s Races 1000 Meters),,5,Zlac,04:06.2,,,,,,,,,
1975,,,Women’s Open 8+ (Women’s Races 1000 Meters),,6,San Diego,04:14.2,,,,,,,,,
1975,,,Women’s Open 4+,,1,Long Beach State,03:35.0,Gloria Gray ,Claudia Schneider,Patty Thompson,Maggie McGarry,Marti Ramos,,,,
1975,,,Women’s Open 4+,,2,Associated RC,03:40.4,,,,,,,,,
1975,,,Women’s Open 4+,,3,ZLAC,03:45.6,,,,,,,,,
1975,,,Women’s Open 4+,,4,Nebraska,03:47.1,,,,,,,,,
1975,,,Women’s Open 4+,,5,UCLA,03:49.5,,,,,,,,,
1975,,,Women’s Open 2x,,1,"Long Beach RA (Joan Lind, Lisa Hansen)",03:32.9,,,,,,,,,
1975,,,Women’s Open 2x,,2,"LBRA (Karen McCloskey, Nancy Hillard)",03:47.7,,,,,,,,,
1975,,,Women’s Open 2x,,3,"LBRA (Marian Greig, Debbie Ayars)",03:52.1,,,,,,,,,
1975,,,Women’s Open 2x,,4,"Mission Bay RA (Linda Hietanan, Patty Pinkerton), ",03:58.9,,,,,,,,,
1975,,,Women’s Open 2x,,5,"LBRA (Winnie Rich, Jill McIntyre)",04:08.5,,,,,,,,,
1975,,,Women’s Open 1x,,1,"Joan Lind, Long Beach RA",03:46.5,,,,,,,,,
1975,,,Women’s Open 1x,,2,"Lisa Hansen, LBRA",03:59.8,,,,,,,,,
1975,,,Women’s Open 1x,,3,"Marian Greig, LBRA",04:01.6,,,,,,,,,
1975,,,Women’s Open 1x,,4,"Sue Kremm, San Diego RC",04:08.4,,,,,,,,,
1975,,,Women’s Open 1x,,5,"Karen McCloskey, LBRA",04:11.9,,,,,,,,,
1975,,,Women’s Open 1x,,6,"Debbie Ayars, LBRA",04:15.7,,,,,,,,,
1976,,,Copley Cup Men’s Varsity 8+ ,,1,Harvard,06:01.8,Bruce Larson,Jon White,Dave Bixby,Hovey Kemp,Bill Kerins,John Brock,George Athen,Tom Howes,Oillo Schotte
1976,,,Copley Cup Men’s Varsity 8+ ,,2,Pennsylvania,06:03.6,,,,,,,,,
1976,,,Copley Cup Men’s Varsity 8+ ,,3,California,06:03.7,,,,,,,,,
1976,,,Copley Cup Men’s Varsity 8+ ,,4,Wisconsin,06:07.2,,,,,,,,,
1976,,,Copley Cup Men’s Varsity 8+ ,,5,Navy,06:11.1,,,,,,,,,
1976,,,Copley Cup Men’s Varsity 8+ ,,6,Washington,06:12.6,,,,,,,,,
1976,,,Copley Cup Men’s Varsity 8+ ,,7,UCLA,06:27.4,,,,,,,,,
1976,,,Copley Cup Men’s Varsity 8+ ,,8,Oregon State,06:30.8,,,,,,,,,
1976,,,Copley Cup Men’s Varsity 8+ ,,9,British Columbia,06:31.9,,,,,,,,,
1976,,,Copley Cup Men’s Varsity 8+ ,,10,MIT,06:32.7,,,,,,,,,
1976,,,Copley Cup Men’s Varsity 8+ ,,11,Stanford,06:34.5,,,,,,,,,
1976,,,Copley Cup Men’s Varsity 8+ ,,12,UC Irvine,06:40.5,,,,,,,,,
1976,,,California Cup Men’s Varsity 8+,,1,Long Beach State ,06:34.4,Dave Wells ,Jack Farris,Monty Clark,Bill Alexander,Tim Watenpaugh,Bill Forest,Ray Lyons,Mark Stewart,Dave Turnquist
1976,,,California Cup Men’s Varsity 8+,,2,UC Santa Barbara,06:36.8,,,,,,,,,
1976,,,California Cup Men’s Varsity 8+,,3,Loyola,06:39.8,,,,,,,,,
1976,,,California Cup Men’s Varsity 8+,,4,San Diego State,06:45.1,,,,,,,,,
1976,,,California Cup Men’s Varsity 8+,,5,USC,No Time,,,,,,,,,
1976,,,California Cup Men’s Varsity 8+,,6,UC San Diego,No Time,,,,,,,,,
1976,,,Men' Junior Varsity 8+,,1,Pennsylvania ,06:21.5,John Chafsky ,Mike Beck,Bob Johnson,John Roulston,Allen Hansen,Stuart Thorn,Terry Eckert,Barry Selick,Mark Bozenski
1976,,,Men' Junior Varsity 8+,,2,Washington,06:22.3,,,,,,,,,
1976,,,Men' Junior Varsity 8+,,3,California,06:27.4,,,,,,,,,
1976,,,Men' Junior Varsity 8+,,4,Navy,06:28.3,,,,,,,,,
1976,,,Men' Junior Varsity 8+,,5,Harvard,06:28.6,,,,,,,,,
1976,,,Men' Junior Varsity 8+,,6,Wisconsin,06:28.6,,,,,,,,,
1976,,,Men' Junior Varsity 8+,,7,UCLA,06:29.3,,,,,,,,,
1976,,,Men' Junior Varsity 8+,,8,Orange Coast,06:30.0,,,,,,,,,
1976,,,Men' Junior Varsity 8+,,9,UC Irvine,06:42.2,,,,,,,,,
1976,,,Men' Junior Varsity 8+,,10,Stanford,06:46.1,,,,,,,,,
1976,,,Men' Junior Varsity 8+,,11,Long Beach State,No Time,,,,,,,,,
1976,,,Men' Junior Varsity 8+,,12,UC Santa Barbara,No Time,,,,,,,,,
1976,,,Men’s Freshmen 8+,,1,Washington,06:31.7,Bob Nordland ,Mitchell Silver,Bill Walker,Greg Jullani,Mark Miller,Terry Fisk,Bill Erdly,Mike Pederson,Kevin Curren
1976,,,Men’s Freshmen 8+,,2,California,06:37.5,,,,,,,,,
1976,,,Men’s Freshmen 8+,,3,Stanford,06:38.3,,,,,,,,,
1976,,,Men’s Freshmen 8+,,4,Orange Coast,06:41.9,,,,,,,,,
1976,,,Men’s Freshmen 8+,,5,UCLA,06:43.3,,,,,,,,,
1976,,,Men’s Freshmen 8+,,6,Long Beach State,06:47.6,,,,,,,,,
1976,,,Men’s Freshmen 8+,,7,UC Santa Barbara,06:50.5,,,,,,,,,
1976,,,Men’s Freshmen 8+,,8,UC Irvine,06:48.5,,,,,,,,,
1976,,,Men’s Freshmen 8+,,9,USC,06:56.3,,,,,,,,,
1976,,,Men’s Freshmen 8+,,10,Loyola,07:08.4,,,,,,,,,
1976,,,Men’s Freshmen 8+,,11,UC San Diego,07:08.9,,,,,,,,,
1976,,,Men’s Freshmen 8+,,12,San Diego State,07:12.4,,,,,,,,,
1976,,,Men's Lightweight 8+,,1,Washington ,06:26.3,John Stillings ,Paul Quinney,Greg Allen,Don Scales,Skip Miller,Rick Kuhns,Bill Bothel,Doug Jones,Scott Donaldson
1976,,,Men's Lightweight 8+,,2,UCLA,06:36.9,,,,,,,,,
1976,,,Men's Lightweight 8+,,3,Santa Clara,06:38.1,,,,,,,,,
1976,,,Men's Lightweight 8+,,4,California,06:43.8,,,,,,,,,
1976,,,Men's Lightweight 8+,,5,San Diego State,06:48.1,,,,,,,,,
1976,,,Men's Lightweight 8+,,6,USC,06:50.4,,,,,,,,,
1976,,,Men's Open 8+,,1,Long Beach RA ,06:20.9,Dennis Kunishima ,Chick Leonard,Scott Roop,Joel Coster,Ray Shipman,Steve Nowinski,Bill Stout,John Van Blom,John Fletcher
1976,,,Men's Open 8+,,2,Motley RC,06:25.1,,,,,,,,,
1976,,,Men's Open 8+,,3,Mission Bay RA A,06:31.7,,,,,,,,,
1976,,,Men's Open 8+,,4,Mission Bay RA B,06:42.8,,,,,,,,,
1976,,,Men's Open 4+,,1,Harvard ,07:12.5,Ellen Kretchman ,Mark Reckenwald,Jim Donaldson,Rick Porteus,Walt Bryzgornia,,,,
1976,,,Men's Open 4+,,1,Mission Bay RA,07:18.9,,,,,,,,,
1976,,,Men's Open 4+,,2,Long Beach State,07:19.6,,,,,,,,,
1976,,,Men's Open 4+,,3,Wisconsin,07:21.1,,,,,,,,,
1976,,,Men's Open 4+,,4,California,07:21.7,,,,,,,,,
1976,,,Men's Open 4+,,5,MIT/Pennsylvania,07:25.9,,,,,,,,,
1976,,,Men's Open 4+,,6,UCLA,07:28.0,,,,,,,,,
1976,,,Men's Open 4+,,7,Orange Coast,07:30.4,,,,,,,,,
1976,,,Men's Open 4+,,8,Stanford,07:43.7,,,,,,,,,
1976,,,Men's Open 4+,,9,UC San Diego,07:48.7,,,,,,,,,
1976,,,Men's Open Lightweight 4+,,1,Long Beach RA ,07:21.9,Irene Moreno,Dan Bakinowski,Scott Roop,John Fletcher,Ron Freed,,,,
1976,,,Men's Open Lightweight 4+,,2,Mission Bay RA,07:24.0,,,,,,,,,
1976,,,Men's Open Lightweight 4+,,3,San Diego State,07:34.5,,,,,,,,,
1976,,,Men's Open Lightweight 4+,,4,UCLA,07:37.1,,,,,,,,,
1976,,,Men's Open Lightweight 4+,,5,Stanford,No Time,,,,,,,,,
1976,,,Women’s Open 8+ (Women’s Races 1000 Meters),,1,Long Beach RA ,02:55.6,Irene Moreno ,Lisa Hansen,Claudia Schneider,Susan Ela,Marlo Wong,Liz Hills,Barbara O’Reilly,Joan Lind,Debbie Rozowski
1976,,,Women’s Open 8+ (Women’s Races 1000 Meters),,2,California,02:58.3,,,,,,,,,
1976,,,Women’s Open 8+ (Women’s Races 1000 Meters),,3,UCLA,03:05.0,,,,,,,,,
1976,,,Women’s Open 8+ (Women’s Races 1000 Meters),,4,Long Beach State,03:08.1,,,,,,,,,
1976,,,Women’s Open 8+ (Women’s Races 1000 Meters),,5,UC Santa Barbara,03:10.0,,,,,,,,,
1976,,,Women’s Open 8+ (Women’s Races 1000 Meters),,6,San Diego State,03:17.1,,,,,,,,,
