Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
53,,Womens Club *,A,7,,,,,,,,,,,
54,,Womens Club *,B,1,Lake Union,7:53:80,,,,,,,,,
54,,Womens Club *,B,2,Lake Wash,7:54:28,,,,,,,,,
54,,Womens Club *,B,3,Watercat RC,7:57:40,,,,,,,,,
54,,Womens Club *,B,4,Los Gatos ,8:22:79,,,,,,,,,
54,,Womens Club *,B,5,ZLAC,9:24:13,,,,,,,,,
54,,Womens Club *,B,6,,,,,,,,,,,
54,,Womens Club *,B,7,,,,,,,,,,,
55,,Mens Club *,A,1,Marin,6:43:80,,,,,,,,,
55,,Mens Club *,A,2,SDRC,6:57:91,,,,,,,,,
55,,Mens Club *,A,3,Wide Load BC,7:03:35,,,,,,,,,
55,,Mens Club *,A,4,Los Gatos (A),7:12:23,,,,,,,,,
55,,Mens Club *,A,5,LARC,7:19:97,,,,,,,,,
55,,Mens Club *,A,6,Bair Island,7:23:27,,,,,,,,,
55,,Mens Club *,A,7,,,,,,,,,,,
56,,Mens Club *,B,1,LBRA,6:31:90,,,,,,,,,
56,,Mens Club *,B,2,Willamette,6:46:52,,,,,,,,,
56,,Mens Club *,B,3,Union BC,6:48:24,,,,,,,,,
56,,Mens Club *,B,4,Lake Union,6:50:19,,,,,,,,,
56,,Mens Club *,B,5,California YC,6:52:48,,,,,,,,,
56,,Mens Club *,B,6,Los Gatos (B),6:58:41,,,,,,,,,
56,,Mens Club *,B,7,,,,,,,,,,,
57,,Womens Junior JV,3RD,1,Marina AC,8:01:10,,,,,,,,,
57,,Womens Junior JV,3RD,2,ZLAC,8:15:78,,,,,,,,,
57,,Womens Junior JV,3RD,3,NorCal,8:15:97,,,,,,,,,
57,,Womens Junior JV,3RD,4,Xavier,8:23:32,,,,,,,,,
57,,Womens Junior JV,3RD,5,Rio Salado,8:28:33,,,,,,,,,
57,,Womens Junior JV,3RD,6,,,,,,,,,,,
57,,Womens Junior JV,3RD,7,,,,,,,,,,,
58,,Womens Junior JV,Petite,1,Marin (B),7:41:00,,,,,,,,,
58,,Womens Junior JV,Petite,2,Rose City RC,7:49:32,,,,,,,,,
58,,Womens Junior JV,Petite,3,Holy Names,7:50:42,,,,,,,,,
58,,Womens Junior JV,Petite,4,SDRC,7:55:82,,,,,,,,,
58,,Womens Junior JV,Petite,5,Capital Crew,8:01:10,,,,,,,,,
58,,Womens Junior JV,Petite,6,Long Beach,8:04:70,,,,,,,,,
58,,Womens Junior JV,Petite,7,,,,,,,,,,,
59,,Mens Junior JV,Petite,1,Los Gatos (A),6:48:60,,,,,,,,,
59,,Mens Junior JV,Petite,2,Rose City RC,6:51:45,,,,,,,,,
59,,Mens Junior JV,Petite,3,Capital Crew,6:54:67,,,,,,,,,
59,,Mens Junior JV,Petite,4,Oakland Strokes,6:55:96,,,,,,,,,
59,,Mens Junior JV,Petite,5,Marina AC,7:01:57,,,,,,,,,
59,,Mens Junior JV,Petite,6,Berkeley HS,7:03:28,,,,,,,,,
59,,Mens Junior JV,Petite,7,,,,,,,,,,,
60,ZLAC Rowing Club Trophy,Womens Junior JV,GFinal,1,Oakland Strokes,7:12:23,,,,,,,,,
60,ZLAC Rowing Club Trophy,Womens Junior JV,GFinal,2,Marin (A),7:18:68,,,,,,,,,
60,ZLAC Rowing Club Trophy,Womens Junior JV,GFinal,3,St. Ignatius,7:29:44,,,,,,,,,
60,ZLAC Rowing Club Trophy,Womens Junior JV,GFinal,4,Lakeside HS,7:30:63,,,,,,,,,
60,ZLAC Rowing Club Trophy,Womens Junior JV,GFinal,5,Community,7:37:61,,,,,,,,,
60,ZLAC Rowing Club Trophy,Womens Junior JV,GFinal,6,Los Gatos,7:44:81,,,,,,,,,
60,ZLAC Rowing Club Trophy,Womens Junior JV,GFinal,7,,,,,,,,,,,
61,Jean Jessop Hervey Cup,Mens Junior JV,GFinal,1,St. Ignatius,6:27:00,,,,,,,,,
61,Jean Jessop Hervey Cup,Mens Junior JV,GFinal,2,Marin (A),6:31:19,,,,,,,,,
61,Jean Jessop Hervey Cup,Mens Junior JV,GFinal,3,Serra HS,6:40:63,,,,,,,,,
61,Jean Jessop Hervey Cup,Mens Junior JV,GFinal,4,Los Gatos (B),6:45:19,,,,,,,,,
61,Jean Jessop Hervey Cup,Mens Junior JV,GFinal,5,Marin (B),6:45:71,,,,,,,,,
61,Jean Jessop Hervey Cup,Mens Junior JV,GFinal,6,SDRC,6:48:59,,,,,,,,,
61,Jean Jessop Hervey Cup,Mens Junior JV,GFinal,7,,,,,,,,,,,
62,,Womens Collegiate Novice,Petite,1,Notre Dame,7:17:90,,,,,,,,,
62,,Womens Collegiate Novice,Petite,2,USC,7:21:79,,,,,,,,,
62,,Womens Collegiate Novice,Petite,3,Washington St.,7:22:61,,,,,,,,,
62,,Womens Collegiate Novice,Petite,4,UCSD (A),7:30:59,,,,,,,,,
62,,Womens Collegiate Novice,Petite,5,SDSU,7:37:56,,,,,,,,,
62,,Womens Collegiate Novice,Petite,6,Loyola,7:48:68,,,,,,,,,
62,,Womens Collegiate Novice,Petite,7,,,,,,,,,,,
63,,Mens Collegiate Novice,Petite,1,UCSD,6:33:70,,,,,,,,,
63,,Mens Collegiate Novice,Petite,2,Long Beach St.,6:38:97,,,,,,,,,
63,,Mens Collegiate Novice,Petite,3,UC Davis (A),6:42:45,,,,,,,,,
63,,Mens Collegiate Novice,Petite,4,UC Irvine,6:44:44,,,,,,,,,
63,,Mens Collegiate Novice,Petite,5,USC (B),6:45:89,,,,,,,,,
63,,Mens Collegiate Novice,Petite,6,Sonoma St.,6:47:27,,,,,,,,,
63,,Mens Collegiate Novice,Petite,7,,,,,,,,,,,
64,,Womens Open,Petite,1,SDRC,7:22:10,,,,,,,,,
64,,Womens Open,Petite,2,Cal Alum,7:31:19,,,,,,,,,
64,,Womens Open,Petite,3,Notre Dame Alum,7:32:05,,,,,,,,,
64,,Womens Open,Petite,4,USC Alum,7:42:62,,,,,,,,,
64,,Womens Open,Petite,5,Lake Union,7:56:58,,,,,,,,,
64,,Womens Open,Petite,6,UCSB,8:26:09,,,,,,,,,
64,,Womens Open,Petite,7,,,,,,,,,,,
65,,Mens Open,Petite,1,Cal LW,6:34:60,,,,,,,,,
65,,Mens Open,Petite,2,SDSU Alum (C),6:41:06,,,,,,,,,
65,,Mens Open,Petite,3,UCSD,6:41:59,,,,,,,,,
65,,Mens Open,Petite,4,Lake Merritt,6:42:43,,,,,,,,,
65,,Mens Open,Petite,5,Sac State,6:49:47,,,,,,,,,
65,,Mens Open,Petite,6,Orange Coast,6:55:43,,,,,,,,,
65,,Mens Open,Petite,7,,,,,,,,,,,
66,,Womens JV,Petite,1,Notre Dame,6:56:00,,,,,,,,,
66,,Womens JV,Petite,2,North Eastern,7:00:91,,,,,,,,,
66,,Womens JV,Petite,3,SDSU,7:06:53,,,,,,,,,
66,,Womens JV,Petite,4,Texas,7:06:55,,,,,,,,,
66,,Womens JV,Petite,5,Kansas St.,7:13:25,,,,,,,,,
66,,Womens JV,Petite,6,USD (A),7:15:21,,,,,,,,,
66,,Womens JV,Petite,7,,,,,,,,,,,
67,,Mens JV,Petite,1,Notre Dame,6:21:00,,,,,,,,,
67,,Mens JV,Petite,2,Orange Coast,6:26:20,,,,,,,,,
67,,Mens JV,Petite,3,Colorado,7:04:45,,,,,,,,,
67,,Mens JV,Petite,4,,,,,,,,,,,
67,,Mens JV,Petite,5,,,,,,,,,,,
67,,Mens JV,Petite,6,,,,,,,,,,,
67,,Mens JV,Petite,7,,,,,,,,,,,
68,,Womens Cal Cup,Petite,1,St. Marry's,6:51:00,,,,,,,,,
68,,Womens Cal Cup,Petite,2,Wisconsin LW,6:52:91,,,,,,,,,
68,,Womens Cal Cup,Petite,3,Bucknell,6:56:51,,,,,,,,,
68,,Womens Cal Cup,Petite,4,Temple,6:58:77,,,,,,,,,
68,,Womens Cal Cup,Petite,5,Villanova,7:00:29,,,,,,,,,
68,,Womens Cal Cup,Petite,6,Lehigh,7:09:97,,,,,,,,,
68,,Womens Cal Cup,Petite,7,,,,,,,,,,,
69,,Mens Cal Cup,Petite,1,Gonzaga,6:05:50,,,,,,,,,
69,,Mens Cal Cup,Petite,2,Washington St.,6:08:91,,,,,,,,,
69,,Mens Cal Cup,Petite,3,Texas,6:11:25,,,,,,,,,
69,,Mens Cal Cup,Petite,4,Notre Dame,6:14:49,,,,,,,,,
69,,Mens Cal Cup,Petite,5,Rollins,6:16:24,,,,,,,,,
69,,Mens Cal Cup,Petite,6,UCSB,6:17:52,,,,,,,,,
69,,Mens Cal Cup,Petite,7,,,,,,,,,,,
70,,Jessop-Whittier Cup,Petite,1,Stanford,6:35:80,,,,,,,,,
70,,Jessop-Whittier Cup,Petite,2,North Eastern,6:37:09,,,,,,,,,
70,,Jessop-Whittier Cup,Petite,3,Loyola,6:39:99,,,,,,,,,
70,,Jessop-Whittier Cup,Petite,4,Texas,6:46:95,,,,,,,,,
70,,Jessop-Whittier Cup,Petite,5,SDSU,6:53:57,,,,,,,,,
70,,Jessop-Whittier Cup,Petite,6,Purdue,7:04:95,,,,,,,,,
70,,Jessop-Whittier Cup,Petite,7,,,,,,,,,,,
71,SeaWorld Trophy,Womens Collegiate Novice,GFinal,1,Cal,6:46:90,,,,,,,,,
71,SeaWorld Trophy,Womens Collegiate Novice,GFinal,2,Texas,6:47:95,,,,,,,,,
71,SeaWorld Trophy,Womens Collegiate Novice,GFinal,3,Stanford,6:51:57,,,,,,,,,
71,SeaWorld Trophy,Womens Collegiate Novice,GFinal,4,Oregon St.,6:59:46,,,,,,,,,
71,SeaWorld Trophy,Womens Collegiate Novice,GFinal,5,Kansas St.,7:00:37,,,,,,,,,
71,SeaWorld Trophy,Womens Collegiate Novice,GFinal,6,UCLA,7:04:68,,,,,,,,,
71,SeaWorld Trophy,Womens Collegiate Novice,GFinal,7,,,,,,,,,,,
72,Derek Guelker Memorial Cup,Mens Collegiate Novice,GFinal,1,Cal (A),6:08:70,,,,,,,,,
72,Derek Guelker Memorial Cup,Mens Collegiate Novice,GFinal,2,Stanford,6:14:78,,,,,,,,,
72,Derek Guelker Memorial Cup,Mens Collegiate Novice,GFinal,3,Orange Coast,6:15:47,,,,,,,,,
72,Derek Guelker Memorial Cup,Mens Collegiate Novice,GFinal,4,Oregon St.,6:18:06,,,,,,,,,
72,Derek Guelker Memorial Cup,Mens Collegiate Novice,GFinal,5,Texas,6:21:80,,,,,,,,,
72,Derek Guelker Memorial Cup,Mens Collegiate Novice,GFinal,6,USD,6:25:53,,,,,,,,,
72,Derek Guelker Memorial Cup,Mens Collegiate Novice,GFinal,7,,,,,,,,,,,
73,Thalia Kelly Considine Cup,Womens Club*,Final,1,LBRA,7:03:70,,,,,,,,,
73,Thalia Kelly Considine Cup,Womens Club*,Final,2,Lake Union,7:07:05,,,,,,,,,
73,Thalia Kelly Considine Cup,Womens Club*,Final,3,Watercat RC,7:08:98,,,,,,,,,
73,Thalia Kelly Considine Cup,Womens Club*,Final,4,Lake Washington,7:09:74,,,,,,,,,
73,Thalia Kelly Considine Cup,Womens Club*,Final,5,Marin,7:22:32,,,,,,,,,
73,Thalia Kelly Considine Cup,Womens Club*,Final,6,Lake Merritt,7:3:67,,,,,,,,,
73,Thalia Kelly Considine Cup,Womens Club*,Final,7,,,,,,,,,,,
74,City of San Diego Cup,Mens Club*,Final,1,Marin (A),6:30:70,,,,,,,,,
74,City of San Diego Cup,Mens Club*,Final,2,LBRA,6:30:72,,,,,,,,,
74,City of San Diego Cup,Mens Club*,Final,3,Union BC,6:52:19,,,,,,,,,
74,City of San Diego Cup,Mens Club*,Final,4,SDRC,6:52:58,,,,,,,,,
74,City of San Diego Cup,Mens Club*,Final,5,Williamette,6:54:64,,,,,,,,,
74,City of San Diego Cup,Mens Club*,Final,6,,,,,,,,,,,
74,City of San Diego Cup,Mens Club*,Final,7,,,,,,,,,,,
75,Jackie Ann Stitt Hungness Trophy,Womens JV,GFinal,1,Cal,6:54:80,,,,,,,,,
75,Jackie Ann Stitt Hungness Trophy,Womens JV,GFinal,2,Washington St.,6:55:42,,,,,,,,,
75,Jackie Ann Stitt Hungness Trophy,Womens JV,GFinal,3,Stanford,6:59:31,,,,,,,,,
75,Jackie Ann Stitt Hungness Trophy,Womens JV,GFinal,4,USC,7:00:99,,,,,,,,,
75,Jackie Ann Stitt Hungness Trophy,Womens JV,GFinal,5,Wisconsin,7:01:23,,,,,,,,,
75,Jackie Ann Stitt Hungness Trophy,Womens JV,GFinal,6,UCLA,7:04:89,,,,,,,,,
75,Jackie Ann Stitt Hungness Trophy,Womens JV,GFinal,7,,,,,,,,,,,
76,Sharp Cabrillo Cup,Mens JV,GFinal,1,Cal (A),6:10:30,,,,,,,,,
76,Sharp Cabrillo Cup,Mens JV,GFinal,2,Cal (B),6:13:27,,,,,,,,,
76,Sharp Cabrillo Cup,Mens JV,GFinal,3,UC Davis (A),6:35:53,,,,,,,,,
76,Sharp Cabrillo Cup,Mens JV,GFinal,4,UCSD,6:38:29,,,,,,,,,
76,Sharp Cabrillo Cup,Mens JV,GFinal,5,Purdue,6:38:67,,,,,,,,,
76,Sharp Cabrillo Cup,Mens JV,GFinal,6,UC Irvine,6:51:36,,,,,,,,,
76,Sharp Cabrillo Cup,Mens JV,GFinal,7,,,,,,,,,,,
77,Sam Adams/Mesa Distributing Cup,Womens Cal Cup,GFinal,1,Miami,7:05:30,,,,,,,,,
77,Sam Adams/Mesa Distributing Cup,Womens Cal Cup,GFinal,2,Kansas St.,7:08:58,,,,,,,,,
77,Sam Adams/Mesa Distributing Cup,Womens Cal Cup,GFinal,3,St. Joseph's,7:10:87,,,,,,,,,
77,Sam Adams/Mesa Distributing Cup,Womens Cal Cup,GFinal,4,Sac State,7:12:12,,,,,,,,,
77,Sam Adams/Mesa Distributing Cup,Womens Cal Cup,GFinal,5,Navy,7:14:68,,,,,,,,,
77,Sam Adams/Mesa Distributing Cup,Womens Cal Cup,GFinal,6,UC Davis,7:17:61,,,,,,,,,
77,Sam Adams/Mesa Distributing Cup,Womens Cal Cup,GFinal,7,,,,,,,,,,,
78,American Specialty Health Cup,Mens Cal Cup,GFinal,1,OCC,6:25:30,,,,,,,,,
78,American Specialty Health Cup,Mens Cal Cup,GFinal,2,Colorado,6:25:93,,,,,,,,,
78,American Specialty Health Cup,Mens Cal Cup,GFinal,3,USC,6:29:19,,,,,,,,,
78,American Specialty Health Cup,Mens Cal Cup,GFinal,4,UCSD,6:29:37,,,,,,,,,
78,American Specialty Health Cup,Mens Cal Cup,GFinal,5,Lehigh,6:30:40,,,,,,,,,
78,American Specialty Health Cup,Mens Cal Cup,GFinal,6,Loyola,6:35:88,,,,,,,,,
78,American Specialty Health Cup,Mens Cal Cup,GFinal,7,,,,,,,,,,,
79,Copley Cup,Copley Cup,GFinal,1,Stanford,6:01:40,,,,,,,,,
79,Copley Cup,Copley Cup,GFinal,2,Cal (A),6:03:79,,,,,,,,,
79,Copley Cup,Copley Cup,GFinal,3,Cal (B),6:12:63,,,,,,,,,
79,Copley Cup,Copley Cup,GFinal,4,Purdue,6:21:01,,,,,,,,,
79,Copley Cup,Copley Cup,GFinal,5,Temple,6:22:40,,,,,,,,,
79,Copley Cup,Copley Cup,GFinal,6,UC Davis,6:29:23,,,,,,,,,
79,Copley Cup,Copley Cup,GFinal,7,,,,,,,,,,,
80,Jessop-Whittier Cup,Jessop-Whittier Cup,GFinal,1,Cal,6:52:10,,,,,,,,,
80,Jessop-Whittier Cup,Jessop-Whittier Cup,GFinal,2,USC,6:54:29,,,,,,,,,
80,Jessop-Whittier Cup,Jessop-Whittier Cup,GFinal,3,Washington St.,6:57:83,,,,,,,,,
80,Jessop-Whittier Cup,Jessop-Whittier Cup,GFinal,4,Notre Dame,6:58:66,,,,,,,,,
80,Jessop-Whittier Cup,Jessop-Whittier Cup,GFinal,5,UCLA,7:01:97,,,,,,,,,
80,Jessop-Whittier Cup,Jessop-Whittier Cup,GFinal,6,Wisconsin,7:05:81,,,,,,,,,
80,Jessop-Whittier Cup,Jessop-Whittier Cup,GFinal,7,,,,,,,,,,,
81,Carley Copley Cup,Womens Open,GFinal,1,Cal,7:18:60,,,,,,,,,
81,Carley Copley Cup,Womens Open,GFinal,2,Notre Dame,7:32:11,,,,,,,,,
81,Carley Copley Cup,Womens Open,GFinal,3,Riverside BC,7:33:87,,,,,,,,,
81,Carley Copley Cup,Womens Open,GFinal,4,SDSU,7:47:83,,,,,,,,,
81,Carley Copley Cup,Womens Open,GFinal,5,River City,7:57:00,,,,,,,,,
81,Carley Copley Cup,Womens Open,GFinal,6,Arizona Rowing,8:10:36,,,,,,,,,
81,Carley Copley Cup,Womens Open,GFinal,7,,,,,,,,,,,
82,Joan Ward Memorial Trophy,Mens Open,GFinal,1,Stanford,6:21:50,,,,,,,,,
82,Joan Ward Memorial Trophy,Mens Open,GFinal,2,Trident RC,6:26:85,,,,,,,,,
82,Joan Ward Memorial Trophy,Mens Open,GFinal,3,UCLA,6:27:22,,,,,,,,,
82,Joan Ward Memorial Trophy,Mens Open,GFinal,4,Everett,6:37:70,,,,,,,,,
82,Joan Ward Memorial Trophy,Mens Open,GFinal,5,Marin,6:43:97,,,,,,,,,
82,Joan Ward Memorial Trophy,Mens Open,GFinal,6,True Aggies,7:04:63,,,,,,,,,
82,Joan Ward Memorial Trophy,Mens Open,GFinal,7,,,,,,,,,,,
83,Gilman-Mulliken Cup,Womens Junior,GFinal,1,Oakland Strokes,7:15:16,,,,,,,,,
83,Gilman-Mulliken Cup,Womens Junior,GFinal,2,Marin,7:16:38,,,,,,,,,
83,Gilman-Mulliken Cup,Womens Junior,GFinal,3,Vic City,7:21:37,,,,,,,,,
83,Gilman-Mulliken Cup,Womens Junior,GFinal,4,Long Beach,7:22:45,,,,,,,,,
83,Gilman-Mulliken Cup,Womens Junior,GFinal,5,Community,7:37:63,,,,,,,,,
83,Gilman-Mulliken Cup,Womens Junior,GFinal,6,St. Ignatius,7:37:76,,,,,,,,,
83,Gilman-Mulliken Cup,Womens Junior,GFinal,7,,,,,,,,,,,
84,William Robinson Memorial Trophy,Mens Junior,GFinal,1,St. Ignatius,6:30:60,,,,,,,,,
84,William Robinson Memorial Trophy,Mens Junior,GFinal,2,Oakland Strokes,6:32:24,,,,,,,,,
84,William Robinson Memorial Trophy,Mens Junior,GFinal,3,Marin,6:35:00,,,,,,,,,
84,William Robinson Memorial Trophy,Mens Junior,GFinal,4,Los Gatos,6:41:28,,,,,,,,,
84,William Robinson Memorial Trophy,Mens Junior,GFinal,5,Rose City RC,6:45:80,,,,,,,,,
84,William Robinson Memorial Trophy,Mens Junior,GFinal,6,Capital Crew,6:49:30,,,,,,,,,
84,William Robinson Memorial Trophy,Mens Junior,GFinal,7,,,,,,,,,,,
85,Hudson Cup,Womens Masters A,Final,1,USC Alum,7:32:70,,,,,,,,,
85,Hudson Cup,Womens Masters A,Final,2,Lake Washington,7:35:26,,,,,,,,,
85,Hudson Cup,Womens Masters A,Final,3,LBRA,7:43:96,,,,,,,,,
85,Hudson Cup,Womens Masters A,Final,4,,,,,,,,,,,
85,Hudson Cup,Womens Masters A,Final,5,,,,,,,,,,,
85,Hudson Cup,Womens Masters A,Final,6,,,,,,,,,,,
85,Hudson Cup,Womens Masters A,Final,7,,,,,,,,,,,
86,Mission Bay Park Trophy,Mens Masters A,Final,1,Kent Mitchell,6:46:60,,,,,,,,,
86,Mission Bay Park Trophy,Mens Masters A,Final,2,Lake Union,6:48:45,,,,,,,,,
86,Mission Bay Park Trophy,Mens Masters A,Final,3,Wide Load BC,6:54:86,,,,,,,,,
86,Mission Bay Park Trophy,Mens Masters A,Final,4,Lake Washington,7:03:69,,,,,,,,,
86,Mission Bay Park Trophy,Mens Masters A,Final,5,Wisconsin Alum,7:04:61,,,,,,,,,
86,Mission Bay Park Trophy,Mens Masters A,Final,6,Bair Island,7:20:84,,,,,,,,,
86,Mission Bay Park Trophy,Mens Masters A,Final,7,,,,,,,,,,,
87,Fred Rickon Memorial Cup,Womens Masters B,Final,1,Lake Union,7:39:40,,,,,,,,,
87,Fred Rickon Memorial Cup,Womens Masters B,Final,2,Marin,7:40:72,,,,,,,,,
87,Fred Rickon Memorial Cup,Womens Masters B,Final,3,Lions RC,7:52:87,,,,,,,,,
87,Fred Rickon Memorial Cup,Womens Masters B,Final,4,Lake Merritt,8:04:99,,,,,,,,,
87,Fred Rickon Memorial Cup,Womens Masters B,Final,5,LARC,8:09:22,,,,,,,,,
87,Fred Rickon Memorial Cup,Womens Masters B,Final,6,Avalon RC,8:55:23,,,,,,,,,
87,Fred Rickon Memorial Cup,Womens Masters B,Final,7,,,,,,,,,,,
88,President's Trophy,Mens Masters B,Final,1,Marin,6:41:20,,,,,,,,,
88,President's Trophy,Mens Masters B,Final,2,Milwaukee,6:43:46,,,,,,,,,
88,President's Trophy,Mens Masters B,Final,3,Kent Mitchell,6:44:51,,,,,,,,,
88,President's Trophy,Mens Masters B,Final,4,USD Alum,6:53:27,,,,,,,,,
88,President's Trophy,Mens Masters B,Final,5,Union BC,6:56:61,,,,,,,,,
88,President's Trophy,Mens Masters B,Final,6,SDRC,6:57:04,,,,,,,,,
88,President's Trophy,Mens Masters B,Final,7,,,,,,,,,,,
89,Margi Fetter Graham Trophy,Womens Masters C,Final,1,LBRA,7:21:83,,,,,,,,,
89,Margi Fetter Graham Trophy,Womens Masters C,Final,2,Marin,7:49:01,,,,,,,,,
89,Margi Fetter Graham Trophy,Womens Masters C,Final,3,ZLAC,7:50:93,,,,,,,,,
89,Margi Fetter Graham Trophy,Womens Masters C,Final,4,Rio Salado,8:20:44,,,,,,,,,
89,Margi Fetter Graham Trophy,Womens Masters C,Final,5,Newport AC,9:02:70,,,,,,,,,
89,Margi Fetter Graham Trophy,Womens Masters C,Final,6,,,,,,,,,,,
89,Margi Fetter Graham Trophy,Womens Masters C,Final,7,,,,,,,,,,,
90,Volunteer Trophy,Mens Masters C,Final,1,Rocky Mountain,6:57:00,,,,,,,,,
90,Volunteer Trophy,Mens Masters C,Final,2,SDRC,7:05:29,,,,,,,,,
90,Volunteer Trophy,Mens Masters C,Final,3,Carnegie Lake,7:11:82,,,,,,,,,
90,Volunteer Trophy,Mens Masters C,Final,4,,,,,,,,,,,
90,Volunteer Trophy,Mens Masters C,Final,5,,,,,,,,,,,
90,Volunteer Trophy,Mens Masters C,Final,6,,,,,,,,,,,
90,Volunteer Trophy,Mens Masters C,Final,7,,,,,,,,,,,
91,Lang & Associates Trophy,Womens Masters D,Final,1,NBRC,8:53:57,,,,,,,,,
91,Lang & Associates Trophy,Womens Masters D,Final,2,Lake Union,8:53:70,,,,,,,,,
91,Lang & Associates Trophy,Womens Masters D,Final,3,Masters Coach,9:23:10,,,,,,,,,
91,Lang & Associates Trophy,Womens Masters D,Final,4,Carnegie Lake,9:23:29,,,,,,,,,
91,Lang & Associates Trophy,Womens Masters D,Final,5,Community,9:29:17,,,,,,,,,
91,Lang & Associates Trophy,Womens Masters D,Final,6,Lions RC,9:38:99,,,,,,,,,
91,Lang & Associates Trophy,Womens Masters D,Final,7,,,,,,,,,,,
92,Founders Trophy,Mens Masters D,Final,1,Kent Mitchel,7:00:90,,,,,,,,,
92,Founders Trophy,Mens Masters D,Final,2,Pocock,7:06:83,,,,,,,,,
92,Founders Trophy,Mens Masters D,Final,3,Williamette,7:27:30,,,,,,,,,
92,Founders Trophy,Mens Masters D,Final,4,Lake Merritt,8:07:61,,,,,,,,,
92,Founders Trophy,Mens Masters D,Final,5,,,,,,,,,,,
92,Founders Trophy,Mens Masters D,Final,6,,,,,,,,,,,
92,Founders Trophy,Mens Masters D,Final,7,,,,,,,,,,,
