Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
12,,Mens Collegiate Novice,C,1,Stanford,6:06:08,,,,,,,,,
12,,Mens Collegiate Novice,C,2,Oregon State,6:10:79,,,,,,,,,
12,,Mens Collegiate Novice,C,3,UCSD,6:14:65,,,,,,,,,
12,,Mens Collegiate Novice,C,4,SDSU,6:28:68,,,,,,,,,
12,,Mens Collegiate Novice,C,5,Wash State,6:45:68,,,,,,,,,
12,,Mens Collegiate Novice,C,6,Santa Clara,6:52.66,,,,,,,,,
12,,Mens Collegiate Novice,C,7,,,,,,,,,,,
13,,Mens Collegiate Novice,D,1,Texas,6:17:30,,,,,,,,,
13,,Mens Collegiate Novice,D,2,UC Irvine,6:26:76,,,,,,,,,
13,,Mens Collegiate Novice,D,3,Sonoma State,6:26:88,,,,,,,,,
13,,Mens Collegiate Novice,D,4,UCLA (B),6:30:73,,,,,,,,,
13,,Mens Collegiate Novice,D,5,UC Davis (B),7:00:56,,,,,,,,,
13,,Mens Collegiate Novice,D,6,,,,,,,,,,,
13,,Mens Collegiate Novice,D,7,,,,,,,,,,,
14,,Womens JV,A,1,Cal,6:38:20,,,,,,,,,
14,,Womens JV,A,2,Stanford,6:41:45,,,,,,,,,
14,,Womens JV,A,3,Northeastern,6:48:86,,,,,,,,,
14,,Womens JV,A,4,Kansas State,6:56:87,,,,,,,,,
14,,Womens JV,A,5,Sac State,7:01:18,,,,,,,,,
14,,Womens JV,A,6,USD (B),7:35:36,,,,,,,,,
14,,Womens JV,A,7,,,,,,,,,,,
15,,Womens JV,B,1,USC,6:42:60,,,,,,,,,
15,,Womens JV,B,2,Wisconsin,6:43:60,,,,,,,,,
15,,Womens JV,B,3,Notre Dame,6:45:61,,,,,,,,,
15,,Womens JV,B,4,USD (A),7:02:83,,,,,,,,,
15,,Womens JV,B,5,Loyola,7:08:53,,,,,,,,,
15,,Womens JV,B,6,,,,,,,,,,,
15,,Womens JV,B,7,,,,,,,,,,,
16,,Womens JV,C,1,Wash State,6:36:60,,,,,,,,,
16,,Womens JV,C,2,UCLA,6:41:97,,,,,,,,,
16,,Womens JV,C,3,Texas,6:50:94,,,,,,,,,
16,,Womens JV,C,4,SDSU,6:53:48,,,,,,,,,
16,,Womens JV,C,5,St Joseph's,7:07:43,,,,,,,,,
16,,Womens JV,C,6,Santa Clara,7:22:40,,,,,,,,,
16,,Womens JV,C,7,,,,,,,,,,,
17,,Mens JV,A,1,Cal (B),5:56:10,,,,,,,,,
17,,Mens JV,A,2,Purdue,6:17:50,,,,,,,,,
17,,Mens JV,A,3,UC Irvine,6:25:93,,,,,,,,,
17,,Mens JV,A,4,Colorado,6:59:29,,,,,,,,,
17,,Mens JV,A,5,,,,,,,,,,,
17,,Mens JV,A,6,,,,,,,,,,,
17,,Mens JV,A,7,,,,,,,,,,,
18,,Mens JV,B,1,Cal (A),5:53:90,,,,,,,,,
18,,Mens JV,B,2,UC Davis (A),6:13:90,,,,,,,,,
18,,Mens JV,B,3,UCSD,6:15:80,,,,,,,,,
18,,Mens JV,B,4,Notre Dame,6:17:17,,,,,,,,,
18,,Mens JV,B,5,Orange Coast,6:20:00,,,,,,,,,
18,,Mens JV,B,6,,,,,,,,,,,
18,,Mens JV,B,7,,,,,,,,,,,
19,,Womens Collegiate Novice,A,1,Cal ,6:49:00,,,,,,,,,
19,,Womens Collegiate Novice,A,2,Kansas State,6:56:49,,,,,,,,,
19,,Womens Collegiate Novice,A,3,Notre Dame,6:59:64,,,,,,,,,
19,,Womens Collegiate Novice,A,4,Sac State,7:09:51,,,,,,,,,
19,,Womens Collegiate Novice,A,5,Orange Coast,7:55:69,,,,,,,,,
19,,Womens Collegiate Novice,A,6,,,,,,,,,,,
19,,Womens Collegiate Novice,A,7,,,,,,,,,,,
20,,Womens Collegiate Novice,B,1,Texas,6:54:36,,,,,,,,,
20,,Womens Collegiate Novice,B,2,UCLA,7:09:53,,,,,,,,,
20,,Womens Collegiate Novice,B,3,UCSD (A),7:12:54,,,,,,,,,
20,,Womens Collegiate Novice,B,4,UC Irvine,7:31:34,,,,,,,,,
20,,Womens Collegiate Novice,B,5,UCSB (B),7:32:99,,,,,,,,,
20,,Womens Collegiate Novice,B,6,Chapman (A),7:43:08,,,,,,,,,
20,,Womens Collegiate Novice,B,7,,,,,,,,,,,
21,,Womens Collegiate Novice,C,1,Oregon State,6:59:60,,,,,,,,,
21,,Womens Collegiate Novice,C,2,SDSU,7:19:68,,,,,,,,,
21,,Womens Collegiate Novice,C,3,USC,7:23:65,,,,,,,,,
21,,Womens Collegiate Novice,C,4,UC Davis,7:30:03,,,,,,,,,
21,,Womens Collegiate Novice,C,5,Sonoma State (A),7:33:73,,,,,,,,,
21,,Womens Collegiate Novice,C,6,UCSD (B),8:07:31,,,,,,,,,
21,,Womens Collegiate Novice,C,7,,,,,,,,,,,
22,,Womens Collegiate Novice,D,1,Stanford,6:57:80,,,,,,,,,
22,,Womens Collegiate Novice,D,2,Wash State,7:10:42,,,,,,,,,
22,,Womens Collegiate Novice,D,3,Loyola,7:37:69,,,,,,,,,
22,,Womens Collegiate Novice,D,4,Colorado,7:51:90,,,,,,,,,
22,,Womens Collegiate Novice,D,5,Sonoma State (B),8:01:40,,,,,,,,,
22,,Womens Collegiate Novice,D,6,Chapman (B),8:27:27,,,,,,,,,
22,,Womens Collegiate Novice,D,7,,,,,,,,,,,
23,,Mens Junior,A,1,Marin,6:22:50,,,,,,,,,
23,,Mens Junior,A,2,Capital Crew ,6:23:94,,,,,,,,,
23,,Mens Junior,A,3,SDRC,6:25:58,,,,,,,,,
23,,Mens Junior,A,4,Long Beach,6:27:85,,,,,,,,,
23,,Mens Junior,A,5,La Salle HS (PA),6:28:34,,,,,,,,,
23,,Mens Junior,A,6,Tempe,7:34:68,,,,,,,,,
23,,Mens Junior,A,7,,,,,,,,,,,
24,,Mens Junior,B,1,Los Gatos,6:18:70,,,,,,,,,
24,,Mens Junior,B,2,Rose City RC,6:22:03,,,,,,,,,
24,,Mens Junior,B,3,Serra HS,6:24:73,,,,,,,,,
24,,Mens Junior,B,4,River City,6:33:60,,,,,,,,,
24,,Mens Junior,B,5,Osnabrück,6:42:57,,,,,,,,,
24,,Mens Junior,B,6,Stockton,6:48:01,,,,,,,,,
24,,Mens Junior,B,7,,,,,,,,,,,
25,,Mens Junior,C,1,St Ignatius,6:12:90,,,,,,,,,
25,,Mens Junior,C,2,Oakland Strokes,6:16:19,,,,,,,,,
25,,Mens Junior,C,3,Berkeley HS,6:27:97,,,,,,,,,
25,,Mens Junior,C,4,Lakeside HS,6:31:05,,,,,,,,,
25,,Mens Junior,C,5,Marina AC,6:32:01,,,,,,,,,
25,,Mens Junior,C,6,Austin,6:52:37,,,,,,,,,
25,,Mens Junior,C,7,,,,,,,,,,,
26,A.W. Coggeshall Cup,Womens Collegiate Lt,Final,1,Wisconsin,7:06:20,,,,,,,,,
26,A.W. Coggeshall Cup,Womens Collegiate Lt,Final,2,Stanford,7:27:18,,,,,,,,,
26,A.W. Coggeshall Cup,Womens Collegiate Lt,Final,3,,,,,,,,,,,
26,A.W. Coggeshall Cup,Womens Collegiate Lt,Final,4,,,,,,,,,,,
26,A.W. Coggeshall Cup,Womens Collegiate Lt,Final,5,,,,,,,,,,,
26,A.W. Coggeshall Cup,Womens Collegiate Lt,Final,6,,,,,,,,,,,
26,A.W. Coggeshall Cup,Womens Collegiate Lt,Final,7,,,,,,,,,,,
27,,Womens Junior,A,1,Oakland Strokes,6:51:19,,,,,,,,,
27,,Womens Junior,A,2,Vic City,6:56:24,,,,,,,,,
27,,Womens Junior,A,3,Rose City RC,7:02:14,,,,,,,,,
27,,Womens Junior,A,4,SDRC,7:08:52,,,,,,,,,
27,,Womens Junior,A,5,Marina AC,7:11:11,,,,,,,,,
27,,Womens Junior,A,6,Rio Salado,7:25:73,,,,,,,,,
27,,Womens Junior,A,7,Xavier,7:32:73,,,,,,,,,
28,,Womens Junior,B,1,Marin,7:01:10,,,,,,,,,
28,,Womens Junior,B,2,St Ignatius,7:10:99,,,,,,,,,
28,,Womens Junior,B,3,Lakeside HS,7:15:07,,,,,,,,,
28,,Womens Junior,B,4,Holy Names,7:20:46,,,,,,,,,
28,,Womens Junior,B,5,Osnabrück,7:31:00,,,,,,,,,
28,,Womens Junior,B,6,ZLAC,7:41:43,,,,,,,,,
28,,Womens Junior,B,7,Tempe,8:13:16,,,,,,,,,
29,,Womens Junior,C,1,Long Beach,7:06:20,,,,,,,,,
29,,Womens Junior,C,2,Community,7:14:19,,,,,,,,,
29,,Womens Junior,C,3,River City,7:18:90,,,,,,,,,
29,,Womens Junior,C,4,NorCal,7:22:21,,,,,,,,,
29,,Womens Junior,C,5,Capital Crew,7:29:41,,,,,,,,,
29,,Womens Junior,C,6,Los Gatos,7:32.89,,,,,,,,,
29,,Womens Junior,C,7,Stockton,7:52:18,,,,,,,,,
30,Stewards Cup,Mens Masters E,Final,1,Marin,6:47:50,,,,,,,,,
30,Stewards Cup,Mens Masters E,Final,2,Los Gatos,6:49:39,,,,,,,,,
30,Stewards Cup,Mens Masters E,Final,3,California YC,6:58:79,,,,,,,,,
30,Stewards Cup,Mens Masters E,Final,4,Union BC,7:06:59,,,,,,,,,
30,Stewards Cup,Mens Masters E,Final,5,Rio Salado,7:47:19,,,,,,,,,
30,Stewards Cup,Mens Masters E,Final,6,Fat Turtles,8:32:29,,,,,,,,,
30,Stewards Cup,Mens Masters E,Final,7,,,,,,,,,,,
31,Grand Masters Trophy,Mens Masters F*,Final,1,LBRA,6:55:60,,,,,,,,,
31,Grand Masters Trophy,Mens Masters F*,Final,2,Pocock,7:00:49,,,,,,,,,
31,Grand Masters Trophy,Mens Masters F*,Final,3,Marin,7:21:70,,,,,,,,,
31,Grand Masters Trophy,Mens Masters F*,Final,4,SDRC,7:23:31,,,,,,,,,
31,Grand Masters Trophy,Mens Masters F*,Final,5,Los Gatos,7:26:79,,,,,,,,,
31,Grand Masters Trophy,Mens Masters F*,Final,6,,,,,,,,,,,
31,Grand Masters Trophy,Mens Masters F*,Final,7,,,,,,,,,,,
32,Cloud 9 Shuttle Cup,Womens Masters E*,Final,1,Portland BC,7:46:30,,,,,,,,,
32,Cloud 9 Shuttle Cup,Womens Masters E*,Final,2,SDRC,7:56:98,,,,,,,,,
32,Cloud 9 Shuttle Cup,Womens Masters E*,Final,3,Los Gatos,8:05:17,,,,,,,,,
32,Cloud 9 Shuttle Cup,Womens Masters E*,Final,4,Masters Coach,8:05:38,,,,,,,,,
32,Cloud 9 Shuttle Cup,Womens Masters E*,Final,5,Interlochen,8:12:78,,,,,,,,,
32,Cloud 9 Shuttle Cup,Womens Masters E*,Final,6,Marin,8:21:16,,,,,,,,,
32,Cloud 9 Shuttle Cup,Womens Masters E*,Final,7,Avalon RC,8:32:83,,,,,,,,,
