Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
1,,Mens Cal Cup,A,1,Gonzaga,6:19.4,,,,,,,,,
1,,Mens Cal Cup,A,2,Colorado,6:20.83,,,,,,,,,
1,,Mens Cal Cup,A,3,OCC,6:23.94,,,,,,,,,
1,,Mens Cal Cup,A,4,UCSD,6:28.37,,,,,,,,,
1,,Mens Cal Cup,A,5,UCI,6:35.09,,,,,,,,,
1,,Mens Cal Cup,A,6,Notre Dame,6:36.78,,,,,,,,,
1,,Mens Cal Cup,A,7,SDSU,6:37.09,,,,,,,,,
2,,Mens Cal Cup,B,1,Minnesota,6:18.6,,,,,,,,,
2,,Mens Cal Cup,B,2,USC,6:22.71,,,,,,,,,
2,,Mens Cal Cup,B,3,Wash State,6:24.27,,,,,,,,,
2,,Mens Cal Cup,B,4,UCLA,6:25.53,,,,,,,,,
2,,Mens Cal Cup,B,5,UCSB,6:32.52,,,,,,,,,
2,,Mens Cal Cup,B,6,Sac State,6:40.01,,,,,,,,,
2,,Mens Cal Cup,B,7,,,,,,,,,,,
3,,Mens Cal Cup,C,1,Trinity,6:13.00,,,,,,,,,
3,,Mens Cal Cup,C,2,Cal L/W,6:19.36,,,,,,,,,
3,,Mens Cal Cup,C,3,Texas,6:25.04,,,,,,,,,
3,,Mens Cal Cup,C,4,Loyola,6:27.90,,,,,,,,,
3,,Mens Cal Cup,C,5,Santa Clara,6:29.10,,,,,,,,,
3,,Mens Cal Cup,C,6,USD,6:31.66,,,,,,,,,
3,,Mens Cal Cup,C,7,,,,,,,,,,,
4,,Womens Cal Cup,A,1,Central Florida,6:58.9,,,,,,,,,
4,,Womens Cal Cup,A,2,UC Davis,7:03.06,,,,,,,,,
4,,Womens Cal Cup,A,3,Trinity,7:07.25,,,,,,,,,
4,,Womens Cal Cup,A,4,UCSB,7:08.77,,,,,,,,,
4,,Womens Cal Cup,A,5,West Virginia,7:08.95,,,,,,,,,
4,,Womens Cal Cup,A,6,Chapman,7:59.83,,,,,,,,,
4,,Womens Cal Cup,A,7,,,,,,,,,,,
5,,Womens Cal Cup,B,1,SDSU,7:01.5,,,,,,,,,
5,,Womens Cal Cup,B,2,K State,7:07.53,,,,,,,,,
5,,Womens Cal Cup,B,3,Villanova,7:16.30,,,,,,,,,
5,,Womens Cal Cup,B,4,USD,7:14.00,,,,,,,,,
5,,Womens Cal Cup,B,5,Santa Clara,7:32.67,,,,,,,,,
5,,Womens Cal Cup,B,6,,,,,,,,,,,
5,,Womens Cal Cup,B,7,,,,,,,,,,,
6,,Womens Cal Cup,C,1,Sac State,7:06.4,,,,,,,,,
6,,Womens Cal Cup,C,2,Miami,7:09.38,,,,,,,,,
6,,Womens Cal Cup,C,3,Temple,7:18.97,,,,,,,,,
6,,Womens Cal Cup,C,4,St. Josephs,7:20.08,,,,,,,,,
6,,Womens Cal Cup,C,5,UCI,7:33.81,,,,,,,,,
6,,Womens Cal Cup,C,6,,,,,,,,,,,
6,,Womens Cal Cup,C,7,,,,,,,,,,,
7,,Copley Cup,A,1,Stanford,5:57.63,,,,,,,,,
7,,Copley Cup,A,2,Cal,6:00.01,,,,,,,,,
7,,Copley Cup,A,3,Penn,6:10.70,,,,,,,,,
7,,Copley Cup,A,4,North Carolina,6:15.76,,,,,,,,,
7,,Copley Cup,A,5,UC Davis,6:22.94,,,,,,,,,
7,,Copley Cup,A,6,,,,,,,,,,,
7,,Copley Cup,A,7,,,,,,,,,,,
8,,Copley Cup,B,1,USNA,6:03.97,,,,,,,,,
8,,Copley Cup,B,2,Northeastern,6:06.80,,,,,,,,,
8,,Copley Cup,B,3,Purdue,6:18.29,,,,,,,,,
8,,Copley Cup,B,4,Temple,6:22.79,,,,,,,,,
