Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
8,,Copley Cup,B,5,,,,,,,,,,,
8,,Copley Cup,B,6,,,,,,,,,,,
8,,Copley Cup,B,7,,,,,,,,,,,
9,,Jessop-Whittier Cup,A,1,Cal,6:46.5,,,,,,,,,
9,,Jessop-Whittier Cup,A,2,USC,6:55.08,,,,,,,,,
9,,Jessop-Whittier Cup,A,3,Wash State,7:00.88,,,,,,,,,
9,,Jessop-Whittier Cup,A,4,Notre Dame,7:03.21,,,,,,,,,
9,,Jessop-Whittier Cup,A,5,Oregon State,7:04.87,,,,,,,,,
9,,Jessop-Whittier Cup,A,6,Loyola,7:11.26,,,,,,,,,
9,,Jessop-Whittier Cup,A,7,,,,,,,,,,,
10,,Jessop-Whittier Cup,B,1,Stanford,6:53.00,,,,,,,,,
10,,Jessop-Whittier Cup,B,2,UCLA,6:54.42,,,,,,,,,
10,,Jessop-Whittier Cup,B,3,Tennessee,6:55.38,,,,,,,,,
10,,Jessop-Whittier Cup,B,4,Texas,6:55.87,,,,,,,,,
10,,Jessop-Whittier Cup,B,5,Purdue,7:16.67,,,,,,,,,
10,,Jessop-Whittier Cup,B,6,,,,,,,,,,,
10,,Jessop-Whittier Cup,B,7,,,,,,,,,,,
11,,Womens Collegiate Lt,A,1,UCSB,7:25.3,,,,,,,,,
11,,Womens Collegiate Lt,A,2,Central Florida,7:30.12,,,,,,,,,
11,,Womens Collegiate Lt,A,3,Villanova,7:40.61,,,,,,,,,
11,,Womens Collegiate Lt,A,4,Stanford B,7:44.41,,,,,,,,,
11,,Womens Collegiate Lt,A,5,,,,,,,,,,,
11,,Womens Collegiate Lt,A,6,,,,,,,,,,,
11,,Womens Collegiate Lt,A,7,,,,,,,,,,,
12,,Womens Collegiate Lt,B,1,Stanford A,7:17.5,,,,,,,,,
12,,Womens Collegiate Lt,B,2,SDSU,7:18.93,,,,,,,,,
12,,Womens Collegiate Lt,B,3,Loyola,7:33.63,,,,,,,,,
12,,Womens Collegiate Lt,B,4,Cal,7:42.03,,,,,,,,,
12,,Womens Collegiate Lt,B,5,Utah Jr,8:18.57,,,,,,,,,
12,,Womens Collegiate Lt,B,6,,,,,,,,,,,
12,,Womens Collegiate Lt,B,7,,,,,,,,,,,
13,,Mens Collegiate Novice,A,1,Cal A,6:03.7,,,,,,,,,
13,,Mens Collegiate Novice,A,2,UCSD,6:30.87,,,,,,,,,
13,,Mens Collegiate Novice,A,3,UC DavisA,6:36.21,,,,,,,,,
13,,Mens Collegiate Novice,A,4,UCLA,6:36.99,,,,,,,,,
13,,Mens Collegiate Novice,A,5,USD,6:43.35,,,,,,,,,
13,,Mens Collegiate Novice,A,6,Minnesota,6:43.61,,,,,,,,,
13,,Mens Collegiate Novice,A,7,Santa Clara,6:52.17,,,,,,,,,
14,,Mens Collegiate Novice,B,1,Cal B,6:30.8,,,,,,,,,
14,,Mens Collegiate Novice,B,2,Loyola,6:38.61,,,,,,,,,
14,,Mens Collegiate Novice,B,3,UC DavisB,6:54.59,,,,,,,,,
14,,Mens Collegiate Novice,B,4,UCSB,7:03.60,,,,,,,,,
14,,Mens Collegiate Novice,B,5,Sac State,7:04.29,,,,,,,,,
14,,Mens Collegiate Novice,B,6,Cal State LB,7:22.73,,,,,,,,,
14,,Mens Collegiate Novice,B,7,,,,,,,,,,,
15,,Mens Collegiate Novice,C,1,Orange Coast A,6:31.00,,,,,,,,,
15,,Mens Collegiate Novice,C,2,Stanford,6:37.57,,,,,,,,,
15,,Mens Collegiate Novice,C,3,Wash State,6:40.89,,,,,,,,,
15,,Mens Collegiate Novice,C,4,Sonoma State,6:41.95,,,,,,,,,
15,,Mens Collegiate Novice,C,5,UCI,6:45.85,,,,,,,,,
15,,Mens Collegiate Novice,C,6,Orange Coast B,6:51.62,,,,,,,,,
15,,Mens Collegiate Novice,C,7,Chapman,7:10.72,,,,,,,,,
16,,Womens JV,A,1,Cal,6:58.8,,,,,,,,,
16,,Womens JV,A,2,Texas,7:02.90,,,,,,,,,
16,,Womens JV,A,3,Oregon St,7:14.99,,,,,,,,,
16,,Womens JV,A,4,Sac State,7:17.18,,,,,,,,,
16,,Womens JV,A,5,Central Florida,7:30.57,,,,,,,,,
16,,Womens JV,A,6,USD B,8:30.74,,,,,,,,,
16,,Womens JV,A,7,,,,,,,,,,,
17,,Womens JV,B,1,Stanford,7:01.00,,,,,,,,,
17,,Womens JV,B,2,Wash State,7:04.49,,,,,,,,,
17,,Womens JV,B,3,Miami,7:09.38,,,,,,,,,
17,,Womens JV,B,4,Notre Dame,7:10.69,,,,,,,,,
17,,Womens JV,B,5,SDSU,7:13.59,,,,,,,,,
17,,Womens JV,B,6,UCI,8:07.89,,,,,,,,,
17,,Womens JV,B,7,,,,,,,,,,,
18,,Womens JV,C,1,UCLA,7:02.1,,,,,,,,,
18,,Womens JV,C,2,USC,7:06.40,,,,,,,,,
18,,Womens JV,C,3,Tennessee,7:09.57,,,,,,,,,
18,,Womens JV,C,4,K State,7:16.62,,,,,,,,,
18,,Womens JV,C,5,Loyola,7:25.59,,,,,,,,,
18,,Womens JV,C,6,USD A,7:25.82,,,,,,,,,
18,,Womens JV,C,7,,,,,,,,,,,
19,,Mens JV,A,1,Cal A,6:04.5,,,,,,,,,
19,,Mens JV,A,2,Cal B,6:06.83,,,,,,,,,
19,,Mens JV,A,3,Stanford,6:07.03,,,,,,,,,
19,,Mens JV,A,4,UC Davis,6:29.68,,,,,,,,,
19,,Mens JV,A,5,UCLA,6:35.66,,,,,,,,,
19,,Mens JV,A,6,UCSD,6:38.60,,,,,,,,,
19,,Mens JV,A,7,Notre Dame,6:41.75,,,,,,,,,
20,,Mens JV,B,1,Northeastern,6:10.7,,,,,,,,,
20,,Mens JV,B,2,Penn,6:12.77,,,,,,,,,
20,,Mens JV,B,3,OCC,6:39.46,,,,,,,,,
20,,Mens JV,B,4,Minnesota,6:39.87,,,,,,,,,
20,,Mens JV,B,5,USC,6:42.51,,,,,,,,,
20,,Mens JV,B,6,UCI,6:45.73,,,,,,,,,
20,,Mens JV,B,7,SDSU,7:15.17,,,,,,,,,
21,,Womens Collegiate Novice,A,1,Cal,7:06.1,,,,,,,,,
21,,Womens Collegiate Novice,A,2,SDSU,7:21.72,,,,,,,,,
21,,Womens Collegiate Novice,A,3,USC,7:24.56,,,,,,,,,
21,,Womens Collegiate Novice,A,4,Loyola,7:33.99,,,,,,,,,
21,,Womens Collegiate Novice,A,5,St. Josephs,7:39.16,,,,,,,,,
21,,Womens Collegiate Novice,A,6,Sonoma St,7:39.66,,,,,,,,,
21,,Womens Collegiate Novice,A,7,Colorado,7:50.19,,,,,,,,,
22,,Womens Collegiate Novice,B,1,UCLA,7:02.1,,,,,,,,,
22,,Womens Collegiate Novice,B,2,Oregon St,7:04.43,,,,,,,,,
22,,Womens Collegiate Novice,B,3,Notre Dame,7:12.60,,,,,,,,,
22,,Womens Collegiate Novice,B,4,UCSD,7:32.91,,,,,,,,,
22,,Womens Collegiate Novice,B,5,UCSB,7:37.32,,,,,,,,,
22,,Womens Collegiate Novice,B,6,Santa Clara,7:38.77,,,,,,,,,
22,,Womens Collegiate Novice,B,7,Chapman,8:38.57,,,,,,,,,
23,,Womens Collegiate Novice,C,1,Texas,7:11.27,,,,,,,,,
23,,Womens Collegiate Novice,C,2,Wash State,7:15.11,,,,,,,,,
23,,Womens Collegiate Novice,C,3,Sac State,7:18.02,,,,,,,,,
23,,Womens Collegiate Novice,C,4,UC Davis,7:24.45,,,,,,,,,
23,,Womens Collegiate Novice,C,5,USD,7:25.21,,,,,,,,,
23,,Womens Collegiate Novice,C,6,UCI,7:36.51,,,,,,,,,
23,,Womens Collegiate Novice,C,7,Claremont,8:08.18,,,,,,,,,
24,,Mens Junior,A,1,Los Gatos,6:10.35,,,,,,,,,
24,,Mens Junior,A,2,Vic City,6:13.38,,,,,,,,,
24,,Mens Junior,A,3,Sammamish,6:31.91,,,,,,,,,
24,,Mens Junior,A,4,Serra,6:34.50,,,,,,,,,
24,,Mens Junior,A,5,NORCAL,7:00.08,,,,,,,,,
24,,Mens Junior,A,6,Tempe,7:17.44,,,,,,,,,
24,,Mens Junior,A,7,Thunderbird,7:29.92,,,,,,,,,
25,,Mens Junior,B,1,Marin,6:18.9,,,,,,,,,
25,,Mens Junior,B,2,St Ignatius,6:23.88,,,,,,,,,
25,,Mens Junior,B,3,SDRC,6:31.67,,,,,,,,,
25,,Mens Junior,B,4,Long Beach,6:34.06,,,,,,,,,
25,,Mens Junior,B,5,Oregon Assoc,6:37.01,,,,,,,,,
25,,Mens Junior,B,6,Marina AC,6:38.99,,,,,,,,,
25,,Mens Junior,B,7,Utah,7:24.54,,,,,,,,,
26,,Mens Junior,C,1,Oakland,6:20.1,,,,,,,,,
26,,Mens Junior,C,2,Capital,6:25.27,,,,,,,,,
26,,Mens Junior,C,3,Rose City,6:25.56,,,,,,,,,
26,,Mens Junior,C,4,St George's,6:31.71,,,,,,,,,
26,,Mens Junior,C,5,Berkeley,6:41.69,,,,,,,,,
26,,Mens Junior,C,6,River City,6:43.44,,,,,,,,,
26,,Mens Junior,C,7,,,,,,,,,,,
27,,Womens Junior,A,1,Thunderbird,6:59.7,,,,,,,,,
27,,Womens Junior,A,2,Marin,7:01.19,,,,,,,,,
27,,Womens Junior,A,3,Long Beach,7:04.27,,,,,,,,,
27,,Womens Junior,A,4,Capital,7:16.43,,,,,,,,,
27,,Womens Junior,A,5,Marina AC,7:19.99,,,,,,,,,
27,,Womens Junior,A,6,Pocock,7:24.33,,,,,,,,,
27,,Womens Junior,A,7,ZLAC,7:29.37,,,,,,,,,
28,,Womens Junior,B,1,Oakland,6:57.43,,,,,,,,,
28,,Womens Junior,B,2,Holy Names,7:07.52,,,,,,,,,
28,,Womens Junior,B,3,Los Gatos,7:13.01,,,,,,,,,
28,,Womens Junior,B,4,SDRC,7:13.80,,,,,,,,,
28,,Womens Junior,B,5,Berkeley,7:15.68,,,,,,,,,
28,,Womens Junior,B,6,River City,7:30.39,,,,,,,,,
28,,Womens Junior,B,7,Xavier,7:35.97,,,,,,,,,
29,,Womens Junior,C,1,Community,6:57.6,,,,,,,,,
29,,Womens Junior,C,2,Sammamish,7:04.22,,,,,,,,,
29,,Womens Junior,C,3,St Ignatius,7:08.64,,,,,,,,,
29,,Womens Junior,C,4,Rose City,7:09.97,,,,,,,,,
29,,Womens Junior,C,5,Oregon Assoc,7:18.99,,,,,,,,,
29,,Womens Junior,C,6,NORCAL,7:31.75,,,,,,,,,
29,,Womens Junior,C,7,Rio Salado,7:48.61,,,,,,,,,
30,Stewards Cup,Mens Masters E,Final,1,Pocock,6:50.30,,,,,,,,,
30,Stewards Cup,Mens Masters E,Final,2,Los Gatos,6:50.32,,,,,,,,,
30,Stewards Cup,Mens Masters E,Final,3,Rocky Mtn,7:00.39,,,,,,,,,
30,Stewards Cup,Mens Masters E,Final,4,Occoquan,7:04.17,,,,,,,,,
30,Stewards Cup,Mens Masters E,Final,5,Lake Merritt,7:39.46,,,,,,,,,
30,Stewards Cup,Mens Masters E,Final,6,,,,,,,,,,,
30,Stewards Cup,Mens Masters E,Final,7,,,,,,,,,,,
31,Volunteer Trophy,Mens Masters C,Final,1,Palm Beach,6:27.22,,,,,,,,,
31,Volunteer Trophy,Mens Masters C,Final,2,Rocky Mtn,6:31.55,,,,,,,,,
31,Volunteer Trophy,Mens Masters C,Final,3,Kent Mitchell,6:35.06,,,,,,,,,
31,Volunteer Trophy,Mens Masters C,Final,4,Marin,6:53.35,,,,,,,,,
31,Volunteer Trophy,Mens Masters C,Final,5,SDRC,7:14.35,,,,,,,,,
31,Volunteer Trophy,Mens Masters C,Final,6,LBRA,7:25.33,,,,,,,,,
31,Volunteer Trophy,Mens Masters C,Final,7,Fat Turtles,7:52.30,,,,,,,,,
32,Margi Fetter Graham Trophy,Womens Masters C,Final,1,Picnic Point,7:12.2,,,,,,,,,
32,Margi Fetter Graham Trophy,Womens Masters C,Final,2,Conibear,7:33.26,,,,,,,,,
32,Margi Fetter Graham Trophy,Womens Masters C,Final,3,Community,8:01.55,,,,,,,,,
32,Margi Fetter Graham Trophy,Womens Masters C,Final,4,Rio Salado,8:07.49,,,,,,,,,
32,Margi Fetter Graham Trophy,Womens Masters C,Final,5,Row as One A,8:21.43,,,,,,,,,
32,Margi Fetter Graham Trophy,Womens Masters C,Final,6,ZLAC,9:25.23,,,,,,,,,
32,Margi Fetter Graham Trophy,Womens Masters C,Final,7,,,,,,,,,,,
33,,Womens Open,A,1,Cal,6:54.3,,,,,,,,,
33,,Womens Open,A,2,Notre Dame,7:05.49,,,,,,,,,
33,,Womens Open,A,3,St Mary's,7:09.95,,,,,,,,,
33,,Womens Open,A,4,Tempe Rowing,7:21.56,,,,,,,,,
33,,Womens Open,A,5,Lions RC,7:24.97,,,,,,,,,
33,,Womens Open,A,6,UCI Alumnis,7:52.13,,,,,,,,,
33,,Womens Open,A,7,,,,,,,,,,,
34,,Womens Open,B,1,USC Alumni,7:04.55,,,,,,,,,
34,,Womens Open,B,2,SDRC,7:07.16,,,,,,,,,
34,,Womens Open,B,3,UCLA,7:12.22,,,,,,,,,
34,,Womens Open,B,4,River City,7:18.37,,,,,,,,,
34,,Womens Open,B,5,Texas,7:18.70,,,,,,,,,
34,,Womens Open,B,6,Bair Island,7:32.47,,,,,,,,,
34,,Womens Open,B,7,USD,8:00.92,,,,,,,,,
35,,Womens Open,C,1,USC,7:08.5,,,,,,,,,
35,,Womens Open,C,2,Cal Alumnis,7:12.97,,,,,,,,,
35,,Womens Open,C,3,Sac State Alumni,7:13.04,,,,,,,,,
35,,Womens Open,C,4,Lake Union,7:23.24,,,,,,,,,
35,,Womens Open,C,5,Santa Clara,7:40.89,,,,,,,,,
35,,Womens Open,C,6,UCSB,8:03.57,,,,,,,,,
35,,Womens Open,C,7,,,,,,,,,,,
36,,Mens Open,A,1,Bihvhar Crew,6:23.9,,,,,,,,,
36,,Mens Open,A,2,Newport,6:29.37,,,,,,,,,
36,,Mens Open,A,3,SDRC,6:41.36,,,,,,,,,
36,,Mens Open,A,4,Bair Island,6:43.06,,,,,,,,,
36,,Mens Open,A,5,,,,,,,,,,,
36,,Mens Open,A,6,,,,,,,,,,,
36,,Mens Open,A,7,,,,,,,,,,,
37,,Mens Open,B,1,Trinity,6:06.2,,,,,,,,,
37,,Mens Open,B,2,Milwaukee,6:30.12,,,,,,,,,
37,,Mens Open,B,3,LARC,6:39.76,,,,,,,,,
37,,Mens Open,B,4,UC Davis,6:44.09,,,,,,,,,
37,,Mens Open,B,5,UCSB,6:52.43,,,,,,,,,
37,,Mens Open,B,6,Sonoma State,7:17.32,,,,,,,,,
37,,Mens Open,B,7,,,,,,,,,,,
38,,Mens Open,C,1,Marin,6:17.43,,,,,,,,,
38,,Mens Open,C,2,Riverside,6:18.59,,,,,,,,,
38,,Mens Open,C,3,Jedi Nights,6:34.21,,,,,,,,,
38,,Mens Open,C,4,Tempe RU,6:38.56,,,,,,,,,
38,,Mens Open,C,5,True Aggies,6:41.49,,,,,,,,,
38,,Mens Open,C,6,UCLA,7:00.73,,,,,,,,,
38,,Mens Open,C,7,,,,,,,,,,,
39,,Mens Junior JV,A,1,Los Gatos A,6:28.9,,,,,,,,,
39,,Mens Junior JV,A,2,St Ignatius,6:33.89,,,,,,,,,
39,,Mens Junior JV,A,3,Berkeley,6:42.12,,,,,,,,,
39,,Mens Junior JV,A,4,Capital,6:47.41,,,,,,,,,
39,,Mens Junior JV,A,5,St. George's,7:02.19,,,,,,,,,
39,,Mens Junior JV,A,6,NORCAL,7:04.47,,,,,,,,,
39,,Mens Junior JV,A,7,Long Beach,7:06.29,,,,,,,,,
40,,Mens Junior JV,B,1,Marin,6:37.00,,,,,,,,,
40,,Mens Junior JV,B,2,Sammamish,6:40.28,,,,,,,,,
40,,Mens Junior JV,B,3,Oakland,6:42.26,,,,,,,,,
40,,Mens Junior JV,B,4,Rose City,6:44.43,,,,,,,,,
40,,Mens Junior JV,B,5,Serra,6:46.34,,,,,,,,,
40,,Mens Junior JV,B,6,Los Gatos B,6:51.01,,,,,,,,,
40,,Mens Junior JV,B,7,SDRC,6:59.08,,,,,,,,,
41,,Womens Junior JV,A,1,Marin,7:26.0,,,,,,,,,
41,,Womens Junior JV,A,2,Capital,7:39.37,,,,,,,,,
41,,Womens Junior JV,A,3,Long Beach,7:41.39,,,,,,,,,
41,,Womens Junior JV,A,4,Rose City,7:48.97,,,,,,,,,
41,,Womens Junior JV,A,5,ZLAC,8:02.42,,,,,,,,,
41,,Womens Junior JV,A,6,SDRC,8:10.44,,,,,,,,,
41,,Womens Junior JV,A,7,NORCAL,8:15.87,,,,,,,,,
42,,Womens Junior JV,B,1,Oakland,7:18.70,,,,,,,,,
42,,Womens Junior JV,B,2,Holy Names,7:28.87,,,,,,,,,
42,,Womens Junior JV,B,3,St Ignatius,7:34.95,,,,,,,,,
42,,Womens Junior JV,B,4,Los Gatos,7:39.45,,,,,,,,,
42,,Womens Junior JV,B,5,Marina,7:48.78,,,,,,,,,
42,,Womens Junior JV,B,6,Berkeley,7:52.68,,,,,,,,,
42,,Womens Junior JV,B,7,Xavier,8:14.33,,,,,,,,,
43,,Mens Cal Cup,3RD,1,UCI,6:30.00,,,,,,,,,
43,,Mens Cal Cup,3RD,2,UCSB,6:31.54,,,,,,,,,
43,,Mens Cal Cup,3RD,3,USD,6:34.23,,,,,,,,,
43,,Mens Cal Cup,3RD,4,Notre Dame,6:34.44,,,,,,,,,
43,,Mens Cal Cup,3RD,5,Santa Clara,6:35.81,,,,,,,,,
43,,Mens Cal Cup,3RD,6,Sac State,6:36.92,,,,,,,,,
43,,Mens Cal Cup,3RD,7,SDSU,6:37.20,,,,,,,,,
44,,Womens Cal Cup,3RD,1,West Virginia,7:17.80,,,,,,,,,
44,,Womens Cal Cup,3RD,2,UCI,7:22.62,,,,,,,,,
44,,Womens Cal Cup,3RD,3,Santa Clara,7:37.07,,,,,,,,,
44,,Womens Cal Cup,3RD,4,Chapman,8:06.05,,,,,,,,,
44,,Womens Cal Cup,3RD,5,,,,,,,,,,,
44,,Womens Cal Cup,3RD,6,,,,,,,,,,,
44,,Womens Cal Cup,3RD,7,,,,,,,,,,,
45,,Womens JV,3RD,1,SDSU,7:12.90,,,,,,,,,
45,,Womens JV,3RD,2,Central Florida,7:20.42,,,,,,,,,
45,,Womens JV,3RD,3,Loyola,7:21.41,,,,,,,,,
45,,Womens JV,3RD,4,USD A,7:32.17,,,,,,,,,
45,,Womens JV,3RD,5,UCI,7:37.84,,,,,,,,,
45,,Womens JV,3RD,6,USD B,8:10.47,,,,,,,,,
45,,Womens JV,3RD,7,,,,,,,,,,,
46,,Mens Collegiate Novice,3RD,1,UCI,6:40.34,,,,,,,,,
46,,Mens Collegiate Novice,3RD,2,Minnesota,6:40.58,,,,,,,,,
46,,Mens Collegiate Novice,3RD,3,USD,6:46.72,,,,,,,,,
46,,Mens Collegiate Novice,3RD,4,OCC B,6:47.44,,,,,,,,,
46,,Mens Collegiate Novice,3RD,5,Sac State,7:00.10,,,,,,,,,
46,,Mens Collegiate Novice,3RD,6,Cal State LB,7:07.25,,,,,,,,,
46,,Mens Collegiate Novice,3RD,7,,,,,,,,,,,
47,,Womens Collegiate Novice,3RD,1,USD,7:34.9,,,,,,,,,
47,,Womens Collegiate Novice,3RD,2,UCSB,7:39.34,,,,,,,,,
47,,Womens Collegiate Novice,3RD,3,St. Josephs,7:44.89,,,,,,,,,
47,,Womens Collegiate Novice,3RD,4,Sonoma St,7:47.18,,,,,,,,,
47,,Womens Collegiate Novice,3RD,5,UCI,7:49.08,,,,,,,,,
47,,Womens Collegiate Novice,3RD,6,Santa Clara,7:59.73,,,,,,,,,
47,,Womens Collegiate Novice,3RD,7,,,,,,,,,,,
48,,Mens Junior,Petite,1,Rose City,6:37.2,,,,,,,,,
48,,Mens Junior,Petite,2,SDRC,6:37.60,,,,,,,,,
48,,Mens Junior,Petite,3,St George's,6:38.90,,,,,,,,,
48,,Mens Junior,Petite,4,Serra,6:41.31,,,,,,,,,
48,,Mens Junior,Petite,5,Sammamish,6:43.98,,,,,,,,,
48,,Mens Junior,Petite,6,Cal State LB,6:49.23,,,,,,,,,
48,,Mens Junior,Petite,7,,,,,,,,,,,
49,,Womens Junior,Petite,1,Long Beach,7:15.10,,,,,,,,,
49,,Womens Junior,Petite,2,St Ignatius,7:21.30,,,,,,,,,
49,,Womens Junior,Petite,3,Rose City,7:26.29,,,,,,,,,
49,,Womens Junior,Petite,4,Los Gatos,7:26.58,,,,,,,,,
49,,Womens Junior,Petite,5,SDRC,7:27.28,,,,,,,,,
49,,Womens Junior,Petite,6,Capital,7:35.63,,,,,,,,,
49,,Womens Junior,Petite,7,,,,,,,,,,,
50,,Womens Club,A,1,LBRA,7:52.8,,,,,,,,,
50,,Womens Club,A,2,Lake Union,7:55.04,,,,,,,,,
50,,Womens Club,A,3,Union BC,7:58.17,,,,,,,,,
50,,Womens Club,A,4,Martha's Moms,8:09.73,,,,,,,,,
50,,Womens Club,A,5,Conibear,8:20.12,,,,,,,,,
50,,Womens Club,A,6,Lions RC,8:54.49,,,,,,,,,
50,,Womens Club,A,7,PT Crewsers,9:31.59,,,,,,,,,
51,,Womens Club,B,1,Lake Wash,7:49.38,,,,,,,,,
51,,Womens Club,B,2,Portland RC,8:03.85,,,,,,,,,
51,,Womens Club,B,3,Los Gatos,8:04.99,,,,,,,,,
51,,Womens Club,B,4,Willamette,8:05.79,,,,,,,,,
51,,Womens Club,B,5,Lake Merritt,8:30.31,,,,,,,,,
51,,Womens Club,B,6,Community RC,8:36.44,,,,,,,,,
51,,Womens Club,B,7,,,,,,,,,,,
52,,Mens Club,A,1,LBRA,7:12.6,,,,,,,,,
52,,Mens Club,A,2,Ashland RC,7:17.07,,,,,,,,,
52,,Mens Club,A,3,Union,7:19.82,,,,,,,,,
52,,Mens Club,A,4,Los Gatos,7:22.40,,,,,,,,,
52,,Mens Club,A,5,SDRC,7:23.01,,,,,,,,,
52,,Mens Club,A,6,Lake Union,7:31.37,,,,,,,,,
52,,Mens Club,A,7,Occoquan,7:35.73,,,,,,,,,
53,,Mens Club,B,1,Marin,7:30.4,,,,,,,,,
53,,Mens Club,B,2,Rocky Mtn,7:41.21,,,,,,,,,
53,,Mens Club,B,3,Lake Wash,7:45.03,,,,,,,,,
53,,Mens Club,B,4,Willamette,7:53.13,,,,,,,,,
53,,Mens Club,B,5,Redwood Cr,7:57.17,,,,,,,,,
53,,Mens Club,B,6,Lake Merritt,8:11.19,,,,,,,,,
53,,Mens Club,B,7,,,,,,,,,,,
1,,Womens Junior JV,Petite,1,Los Gatos,7:33.8,,,,,,,,,
1,,Womens Junior JV,Petite,2,Rose City,7:40.18,,,,,,,,,
1,,Womens Junior JV,Petite,3,Berkeley,7:43.69,,,,,,,,,
1,,Womens Junior JV,Petite,4,Marina,7:49.45,,,,,,,,,
1,,Womens Junior JV,Petite,5,SDRC,7:54.34,,,,,,,,,
1,,Womens Junior JV,Petite,6,ZLAC,8:05.51,,,,,,,,,
1,,Womens Junior JV,Petite,7,,,,,,,,,,,
2,,Mens Junior JV,Petite,1,Los Gatos B,7:45.7,,,,,,,,,
2,,Mens Junior JV,Petite,2,Capitol,6:47.23,,,,,,,,,
2,,Mens Junior JV,Petite,3,Rose City,6:47.73,,,,,,,,,
2,,Mens Junior JV,Petite,4,Serra ND,6:51.12,,,,,,,,,
2,,Mens Junior JV,Petite,5,Norcal,7:03.99,,,,,,,,,
2,,Mens Junior JV,Petite,6,St. George's,7:12.50,,,,,,,,,
2,,Mens Junior JV,Petite,7,,,,,,,,,,,
3,,Womens Junior JV -,GFinal,1,Oakland,7:13.6,,,,,,,,,
3,,Womens Junior JV -,GFinal,2,Marin,7:19.13,,,,,,,,,
