Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
2,,,B,1,Purdue,6:18.934,,,,,,,,,,,
2,,,B,2,UCLA,6:19.440,,,,,,,,,,,
2,,,B,3,Washington St.,6:22.143,,,,,,,,,,,
2,,,B,4,Oklahoma City,6:22.837,,,,,,,,,,,
2,,,B,5,Villanova,6:25.666,,,,,,,,,,,
2,,,B,6,SDSU,6:47.611,,,,,,,,,,,
2,,,B,7,Cal Maritime,6:52.213,,,,,,,,,,,
2,,,B,,,,,,,,,,,,,,
3,,,C,1,USD,6:20.443,,,,,,,,,,,
3,,,C,2,MIT,6:21.483,,,,,,,,,,,
3,,,C,3,OCC,6:24.502,,,,,,,,,,,
3,,,C,4,Notre Dame,6:24.608,,,,,,,,,,,
3,,,C,5,Santa Clara,6:31.897,,,,,,,,,,,
3,,,C,6,Loyola,6:45.339,,,,,,,,,,,
3,,,C,7,USC,6:47.953,,,,,,,,,,,
3,,,C,,,,,,,,,,,,,,
4,,Womens Collegiate Cal Cup,A,1,U Victoria,6:59.722,,,,,,,,,,,
4,,Womens Collegiate Cal Cup,A,2,KSU,7:05.679,,,,,,,,,,,
4,,Womens Collegiate Cal Cup,A,3,CSUS,7:06.196,,,,,,,,,,,
4,,Womens Collegiate Cal Cup,A,4,Portland,7:09.513,,,,,,,,,,,
4,,Womens Collegiate Cal Cup,A,5,SDSU,7:11.768,,,,,,,,,,,
4,,Womens Collegiate Cal Cup,A,6,St. Joseph's,7:12.439,,,,,,,,,,,
4,,Womens Collegiate Cal Cup,A,7,Loyola,7:13.733,,,,,,,,,,,
4,,Womens Collegiate Cal Cup,A,,,,,,,,,,,,,,
5,,Womens Collegiate Cal Cup,B,1,Brit. Columbia,6:57.982,,,,,,,,,,,
5,,Womens Collegiate Cal Cup,B,2,Iowa,7:02.404,,,,,,,,,,,
5,,Womens Collegiate Cal Cup,B,3,St. Marys,7:03.750,,,,,,,,,,,
5,,Womens Collegiate Cal Cup,B,4,Tulsa,7:04.873,,,,,,,,,,,
5,,Womens Collegiate Cal Cup,B,5,Old Dominion,7:09.841,,,,,,,,,,,
5,,Womens Collegiate Cal Cup,B,6,Purdue,7:15.784,,,,,,,,,,,
5,,Womens Collegiate Cal Cup,B,7,Villanova,7:35.098,,,,,,,,,,,
5,,Womens Collegiate Cal Cup,B,,,,,,,,,,,,,,
6,,Womens DII/DIII/Club,A,1,Barry,7:16.4,,,,,,,,,,,
6,,Womens DII/DIII/Club,A,2,UCSD A,7:21.9,,,,,,,,,,,
6,,Womens DII/DIII/Club,A,3,Wichita State,7:22.0,,,,,,,,,,,
6,,Womens DII/DIII/Club,A,4,UCD,7:22.6,,,,,,,,,,,
6,,Womens DII/DIII/Club,A,5,UCSB B,7:29.9,,,,,,,,,,,
6,,Womens DII/DIII/Club,A,6,Mills,7:39.2,,,,,,,,,,,
6,,Womens DII/DIII/Club,A,7,Chapman,9:11.8,,,,,,,,,,,
6,,Womens DII/DIII/Club,A,,,,,,,,,,,,,,
7,,Womens DII/DIII/Club,B,1,UCSB A,7:14.894,,,,,,,,,,,
7,,Womens DII/DIII/Club,B,2,Central OK,7:22.988,,,,,,,,,,,
7,,Womens DII/DIII/Club,B,3,OCC A,7:26.865,,,,,,,,,,,
7,,Womens DII/DIII/Club,B,4,Royal HK,7:37.493,,,,,,,,,,,
