San Diego Crew Classic 2006 Official Results,,,,,,,,,,,,,,,,,,
"Saturday April 1, 2006",,,,,,,,,,,,,,,,,,
Event,Trophy,Title,Heat,Start,1st Place,,2nd Place,,3rd Place,,4th Place,,5th Place,,6th Place,,7th Place,
29, ,Womens Junior,C,12:30:00 PM,Long Beach, 7:06:20,Community, 7:14:19,River City, 7:18:90,NorCal, 7:22:21,Capital Crew, 7:29:41,Los Gatos, 7:32.89,Stockton, 7:52:18
30, Stewards Cup,Mens Masters E,Final,12:40:00 PM,Marin, 6:47:50,Los Gatos, 6:49:39,California YC, 6:58:79,Union BC, 7:06:59,Rio Salado, 7:47:19,Fat Turtles, 8:32:29,,
31, Grand Masters Trophy,Mens Masters F*,Final,12:50:00 PM,LBRA, 6:55:60,Pocock, 7:00:49,Marin, 7:21:70,SDRC, 7:23:31,Los Gatos, 7:26:79,,,,
32, Cloud 9 Shuttle Cup,Womens Masters E*,Final,01:00:00 PM,Portland BC, 7:46:30,SDRC, 7:56:98,Los Gatos, 8:05:17,Masters Coach, 8:05:38,Interlochen, 8:12:78,Marin, 8:21:16,Avalon RC, 8:32:83
33, Carley Copley Cup,Womens Open,A,01:10:00 PM,Cal, 6:59:80,Notre Dame, 7:09:30,SDRC, 7:17:33,Notre Dame Alum, 7:28:81,St Mary's, 7:30:67,UC Irvine Alum, 7:50:72,Colorado, 8:12:16
34, ,Womens Open,B,01:20:00 PM,River City, 7:30:70,Arizona Rowing, 7:37:22,Lake Union, 7:44:39,UCSB, 8:09:56,Star Light Fox, 8:57:82,,,,
35, ,Womens Open,C,01:30:00 PM,SDSU, 7:20:40,Riverside BC, 7:20:94,Cal Alum, 7:29:94,USC Alum, 7:41:47,USD Alum, 7:48:47,ASU, 7:56:93,UCSD, 7:57:99
36, Joan Ward Memorial Trophy,Mens Open,A,01:40:00 PM,Trident RC, 6:12:10,UCLA, 6:12:68,SDSU Alum (C), 6:40:18,Sac State, 6:42:27,USD Alum, 6:54:44,LARC, 7:34:12,,
37, ,Mens Open,B,01:50:00 PM,Everett RA, 6:28:40,Marin, 6:29:73,Cal L/W, 6:32:37,UCSD, 6:37:55,Lake Wash, 7:05:40,SDSU Alum (A), 7:33:42,,
38, ,Mens Open,C,02:00:00 PM,Stanford, 6:24:70,True Aggies, 6:39:33,Lake Merritt, 6:42:09,Orange Coast, 6:58:46,UCSB, 7:18:38,SDSU Alum (B), 7:29:41,,
39, Jean Jessop Hervey Cup,Mens Junior JV ,A,02:15:00 PM,Marin (A), 6:35:20,SDRC, 6:40:83,Los Gatos (B), 6:41:28,Oakland, 6:41:82,Rose City RC, 6:43:89,Capital Crew , 6:44:24,,
40, ,Mens Junior JV ,B,02:30:00 PM,St Ignatius, 6:26:50,Marin (B), 6:37:31,Serra HS, 6:38:11,Los Gatos (A), 6:38:30,Berkeley HS, 6:49:29,Marina AC, 6:59:69,,
41, ZLAC Rowing Club Trophy,Womens Junior JV ,A,02:40:00 PM,Oakland Strokes, 7:10:90,St Ignatius, 7:19:04,Marin (B), 7:23:33,Rose City RC, 7:33:19,River City, 7:50:18,Marina AC, 7:56:27,,
