Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
1,,Mens Collegiate Varsity Cal Cup,A,1,OCC,6:18.35,,,,,,,,,,,
1,,Mens Collegiate Varsity Cal Cup,A,2,Santa Clara,6:19.62,,,,,,,,,,,
1,,Mens Collegiate Varsity Cal Cup,A,3,Texas,6:29.72,,,,,,,,,,,
1,,Mens Collegiate Varsity Cal Cup,A,4,Loyola,6:30.44,,,,,,,,,,,
1,,Mens Collegiate Varsity Cal Cup,A,5,Drexel,6:30.63,,,,,,,,,,,
1,,Mens Collegiate Varsity Cal Cup,A,6,CSULB,6:50.47,,,,,,,,,,,
1,,Mens Collegiate Varsity Cal Cup,A,7,ASU,7:30.69,,,,,,,,,,,
2,,Mens Collegiate Varsity Cal Cup,B,1,UCSD,6:18.30,,,,,,,,,,,
2,,Mens Collegiate Varsity Cal Cup,B,2,Sac State,6:21.16,,,,,,,,,,,
2,,Mens Collegiate Varsity Cal Cup,B,3,UCD,6:22.97,,,,,,,,,,,
2,,Mens Collegiate Varsity Cal Cup,B,4,Notre Dame,6:26.07,,,,,,,,,,,
2,,Mens Collegiate Varsity Cal Cup,B,5,Sonoma,6:31.26,,,,,,,,,,,
2,,Mens Collegiate Varsity Cal Cup,B,6,USC,6:32.96,,,,,,,,,,,
2,,Mens Collegiate Varsity Cal Cup,B,7,SDSU,7:06.88,,,,,,,,,,,
3,,Mens Collegiate Varsity Cal Cup,C,1,USD,6:21.90,,,,,,,,,,,
3,,Mens Collegiate Varsity Cal Cup,C,2,UCLA,6:23.67,,,,,,,,,,,
3,,Mens Collegiate Varsity Cal Cup,C,3,Colorado,6:27.03,,,,,,,,,,,
3,,Mens Collegiate Varsity Cal Cup,C,4,Cal LW,6:28.79,,,,,,,,,,,
3,,Mens Collegiate Varsity Cal Cup,C,5,UCI,6:31.04,,,,,,,,,,,
3,,Mens Collegiate Varsity Cal Cup,C,6,WSU,6:41.80,,,,,,,,,,,
3,,Mens Collegiate Varsity Cal Cup,C,,,,,,,,,,,,,,
4,,Womens Collegiate Varsity Cal Cup,A,1,Sac State,7:05.32,,,,,,,,,,,
4,,Womens Collegiate Varsity Cal Cup,A,2,Stanford LW,7:12.19,,,,,,,,,,,
4,,Womens Collegiate Varsity Cal Cup,A,3,Georgetown,7:15.53,,,,,,,,,,,
4,,Womens Collegiate Varsity Cal Cup,A,4,Villanova,7:17.60,,,,,,,,,,,
4,,Womens Collegiate Varsity Cal Cup,A,5,Colorado,7:20.01,,,,,,,,,,,
4,,Womens Collegiate Varsity Cal Cup,A,6,CSULB,7:50.16,,,,,,,,,,,
4,,Womens Collegiate Varsity Cal Cup,A,7,ASU,7:56.66,,,,,,,,,,,
5,,Womens Collegiate Varsity Cal Cup,B,1,KSU,7:02.6,,,,,,,,,,,
5,,Womens Collegiate Varsity Cal Cup,B,2,USD,7:04.68,,,,,,,,,,,
