Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
1,,Mens Collegiate Varsity,A,1,Grand Valley,6:03.23,,,,,,,,,,,
1,,Mens Collegiate Varsity,A,2,Oklahoma City,6:06.05,,,,,,,,,,,
1,,Mens Collegiate Varsity,A,3,OCC,6:07.95,,,,,,,,,,,
1,,Mens Collegiate Varsity,A,4,MIT,6:11.96,,,,,,,,,,,
1,,Mens Collegiate Varsity,A,5,Washington St.,6:15.05,,,,,,,,,,,
1,,Mens Collegiate Varsity,A,6,Chapman,6:42.98,,,,,,,,,,,
1,,Mens Collegiate Varsity,A,7,Long Beach,6:55.22,,,,,,,,,,,
2,,Mens Collegiate Varsity,B,1,Notre Dame,6:10.98,,,,,,,,,,,
2,,Mens Collegiate Varsity,B,2,Drexel,6:13.60,,,,,,,,,,,
2,,Mens Collegiate Varsity,B,3,USD,6:14.59,,,,,,,,,,,
2,,Mens Collegiate Varsity,B,4,UCLA,6:16.92,,,,,,,,,,,
2,,Mens Collegiate Varsity,B,5,Rollins,6:24.14,,,,,,,,,,,
2,,Mens Collegiate Varsity,B,6,ASU,6:42.79,,,,,,,,,,,
2,,Mens Collegiate Varsity,B,7,SDSU,6:54.34,,,,,,,,,,,
3,,Mens Collegiate Varsity,C,1,Purdue,6:12.750,,,,,,,,,,,
3,,Mens Collegiate Varsity,C,2,Georgia Tech,6:14.644,,,,,,,,,,,
3,,Mens Collegiate Varsity,C,3,UCSB,6:16.029,,,,,,,,,,,
3,,Mens Collegiate Varsity,C,4,UCD,6:22.594,,,,,,,,,,,
3,,Mens Collegiate Varsity,C,5,Santa Clara,6:31.424,,,,,,,,,,,
3,,Mens Collegiate Varsity,C,6,Cal LW,6:40.463,,,,,,,,,,,
3,,Mens Collegiate Varsity,C,7,Cal Maritime,7:06.627,,,,,,,,,,,
4,,Womens Collegiate Varsity,A,1,Oklahoma,6:50.730,,,,,,,,,,,
4,,Womens Collegiate Varsity,A,2,Tulsa,6:57.089,,,,,,,,,,,
4,,Womens Collegiate Varsity,A,3,Sac State,7:00.699,,,,,,,,,,,
4,,Womens Collegiate Varsity,A,4,Western Wash,7:01.584,,,,,,,,,,,
4,,Womens Collegiate Varsity,A,5,UCD,7:02.054,,,,,,,,,,,
4,,Womens Collegiate Varsity,A,6,SMU,7:08.954,,,,,,,,,,,
4,,Womens Collegiate Varsity,A,7,Villanova,7:20.153,,,,,,,,,,,
5,,Womens Collegiate Varsity,B,1,Duke,6:48.945,,,,,,,,,,,
5,,Womens Collegiate Varsity,B,2,USD,6:54.880,,,,,,,,,,,
5,,Womens Collegiate Varsity,B,3,Gonzaga,6:57.475,,,,,,,,,,,
5,,Womens Collegiate Varsity,B,4,KSU,6:57.835,,,,,,,,,,,
5,,Womens Collegiate Varsity,B,5,Drexel,7:05.714,,,,,,,,,,,
5,,Womens Collegiate Varsity,B,6,SDSU,7:06.019,,,,,,,,,,,
5,,Womens Collegiate Varsity,B,7,Fordham,7:11.109,,,,,,,,,,,
6,,Womens Collegiate Varsity,C,1,Oregon St,6:47.299,,,,,,,,,,,
6,,Womens Collegiate Varsity,C,2,Iowa,6:53.153,,,,,,,,,,,
6,,Womens Collegiate Varsity,C,3,Grand Valley,6:55.858,,,,,,,,,,,
6,,Womens Collegiate Varsity,C,4,St. Marys,6:6:57.683,,,,,,,,,,,
6,,Womens Collegiate Varsity,C,5,Miami,6:57.603 ,,,,,,,,,,,
6,,Womens Collegiate Varsity,C,6,St. Joseph's,6:57.973,,,,,,,,,,,
6,,Womens Collegiate Varsity,C,7,Santa Clara,7:40.391,,,,,,,,,,,
7,,Mens Collegiate Varsity Invitational,A,1,Harvard,5:55.043,,,,,,,,,,,
7,,Mens Collegiate Varsity Invitational,A,2,Navy,5:57.448,,,,,,,,,,,
7,,Mens Collegiate Varsity Invitational,A,3,Cornell,6:01.183,,,,,,,,,,,
7,,Mens Collegiate Varsity Invitational,A,4,Brit Columbia,6:06.978,,,,,,,,,,,
7,,Mens Collegiate Varsity Invitational,A,5,UCSD,6:14.588,,,,,,,,,,,
7,,Mens Collegiate Varsity Invitational,A,,,,,,,,,,,,,,
7,,Mens Collegiate Varsity Invitational,A,,,,,,,,,,,,,,
8,,Mens Collegiate Varsity Invitational,B,1,Cal,5:57.736,,,,,,,,,,,
8,,Mens Collegiate Varsity Invitational,B,2,Stanford,6:02.165,,,,,,,,,,,
8,,Mens Collegiate Varsity Invitational,B,3,Michigan,6:08.045,,,,,,,,,,,
8,,Mens Collegiate Varsity Invitational,B,4,Temple,6:08.445,,,,,,,,,,,
8,,Mens Collegiate Varsity Invitational,B,5,Gonzaga,6:11.610,,,,,,,,,,,
8,,Mens Collegiate Varsity Invitational,B,,,,,,,,,,,,,,
8,,Mens Collegiate Varsity Invitational,B,,,,,,,,,,,,,,
9,,Womens Collegiate Varsity Invitational,A,1,Washington,6:43.407,,,,,,,,,,,
9,,Womens Collegiate Varsity Invitational,A,2,Cal,6:44.087,,,,,,,,,,,
9,,Womens Collegiate Varsity Invitational,A,3,Stanford,6:44.197,,,,,,,,,,,
9,,Womens Collegiate Varsity Invitational,A,4,Clemson,6:51.051,,,,,,,,,,,
9,,Womens Collegiate Varsity Invitational,A,5,Tennessee,6:57.776,,,,,,,,,,,
9,,Womens Collegiate Varsity Invitational,A,6,Purdue,7:04.206,,,,,,,,,,,
9,,Womens Collegiate Varsity Invitational,A,,,,,,,,,,,,,,
10,,Womens Collegiate Varsity Invitational,B,1,USC,6:37.284,,,,,,,,,,,
10,,Womens Collegiate Varsity Invitational,B,2,Virginia,6:38.743,,,,,,,,,,,
10,,Womens Collegiate Varsity Invitational,B,3,UCLA,6:49.603,,,,,,,,,,,
10,,Womens Collegiate Varsity Invitational,B,4,Washington St.,6:51.818,,,,,,,,,,,
10,,Womens Collegiate Varsity Invitational,B,5,Texas,6:57.553,,,,,,,,,,,
10,,Womens Collegiate Varsity Invitational,B,6,Alabama,7:12.757,,,,,,,,,,,
10,,Womens Collegiate Varsity Invitational,B,,,,,,,,,,,,,,
11,,Womens Collegiate 4+,A,1,Virginia A,7:37.64,,,,,,,,,,,
11,,Womens Collegiate 4+,A,2,UCLA,7:37.77,,,,,,,,,,,
11,,Womens Collegiate 4+,A,3,Brit Columbia,7:49.74,,,,,,,,,,,
11,,Womens Collegiate 4+,A,4,Clemson,7:50.59,,,,,,,,,,,
11,,Womens Collegiate 4+,A,5,USC B,7:52.42,,,,,,,,,,,
11,,Womens Collegiate 4+,A,6,Oklahoma,8:07.95,,,,,,,,,,,
11,,Womens Collegiate 4+,A,7,SDSU,8:39.36,,,,,,,,,,,
12,,Womens Collegiate 4+,B,1,Washington St.,7:29.64,,,,,,,,,,,
12,,Womens Collegiate 4+,B,2,USC A,7:31.84,,,,,,,,,,,
12,,Womens Collegiate 4+,B,3,Virginia B,7:33.38,,,,,,,,,,,
12,,Womens Collegiate 4+,B,4,Oregon St,7:52.16,,,,,,,,,,,
12,,Womens Collegiate 4+,B,5,Duke,8:02.25,,,,,,,,,,,
12,,Womens Collegiate 4+,B,6,Sac State,8:03.06,,,,,,,,,,,
12,,Womens Collegiate 4+,B,7,Alabama,8:08.34,,,,,,,,,,,
13,,Womens Collegiate 4+,C,1,Tennessee,7:42.93,,,,,,,,,,,
13,,Womens Collegiate 4+,C,2,Washington,7:44.27,,,,,,,,,,,
13,,Womens Collegiate 4+,C,3,USD,7:57.63,,,,,,,,,,,
13,,Womens Collegiate 4+,C,4,Texas,7:57.78,,,,,,,,,,,
13,,Womens Collegiate 4+,C,5,Stanford,7:58.01,,,,,,,,,,,
13,,Womens Collegiate 4+,C,6,Tulsa,8:10.45,,,,,,,,,,,
13,,Womens Collegiate 4+,C,7,UCSB,8:49.48,,,,,,,,,,,
14,,Womens Collegiate DII/DIII/Club,A,1,Central OK,7:14.69,,,,,,,,,,,
14,,Womens Collegiate DII/DIII/Club,A,2,UCSD A,7:25.43,,,,,,,,,,,
14,,Womens Collegiate DII/DIII/Club,A,3,Western Wash,7:27.40,,,,,,,,,,,
14,,Womens Collegiate DII/DIII/Club,A,4,Mills,7:27.42,,,,,,,,,,,
14,,Womens Collegiate DII/DIII/Club,A,5,UCSB C,7:49.35,,,,,,,,,,,
14,,Womens Collegiate DII/DIII/Club,A,6,UCSD B,7:51.31,,,,,,,,,,,
14,,Womens Collegiate DII/DIII/Club,A,7,Chapman,8:13.23,,,,,,,,,,,
15,,Womens Collegiate DII/DIII/Club,B,1,Humboldt,7:09.72,,,,,,,,,,,
15,,Womens Collegiate DII/DIII/Club,B,2,UCSB A,7:11.79,,,,,,,,,,,
15,,Womens Collegiate DII/DIII/Club,B,3,OCC,7:22.13,,,,,,,,,,,
15,,Womens Collegiate DII/DIII/Club,B,4,Long Beach,7:24.04,,,,,,,,,,,
15,,Womens Collegiate DII/DIII/Club,B,5,UCSB B,7:24.16,,,,,,,,,,,
15,,Womens Collegiate DII/DIII/Club,B,6,UCI,7:37.92,,,,,,,,,,,
15,,Womens Collegiate DII/DIII/Club,B,7,ASU,7:55.68,,,,,,,,,,,
16,,Mens Collegiate Novice,A,1,Cal,6:05.05,,,,,,,,,,,
16,,Mens Collegiate Novice,A,2,UCSD,6:24.18,,,,,,,,,,,
16,,Mens Collegiate Novice,A,3,OCC A,6:25.69,,,,,,,,,,,
16,,Mens Collegiate Novice,A,4,Santa Clara,6:48.12,,,,,,,,,,,
16,,Mens Collegiate Novice,A,5,Sonoma,6:53.28,,,,,,,,,,,
16,,Mens Collegiate Novice,A,6,Long Beach,6:54.19,,,,,,,,,,,
16,,Mens Collegiate Novice,A,7,USC,7:11.43,,,,,,,,,,,
17,,Mens Collegiate Novice,B,1,OCC B,6:21.45,,,,,,,,,,,
17,,Mens Collegiate Novice,B,2,UCLA,6:25.16,,,,,,,,,,,
17,,Mens Collegiate Novice,B,3,Stanford,6:27.61,,,,,,,,,,,
17,,Mens Collegiate Novice,B,4,Notre Dame,6:28.32,,,,,,,,,,,
17,,Mens Collegiate Novice,B,5,Washington St.,6:39.72,,,,,,,,,,,
17,,Mens Collegiate Novice,B,6,St. Marys,7:18.09,,,,,,,,,,,
17,,Mens Collegiate Novice,B,7,ASU,7:30.37,,,,,,,,,,,
18,,Mens Collegiate Novice,C,1,Gonzaga,6:26.57,,,,,,,,,,,
18,,Mens Collegiate Novice,C,2,Brit Columbia,6:36.41,,,,,,,,,,,
18,,Mens Collegiate Novice,C,3,UCSB,6:48.79,,,,,,,,,,,
18,,Mens Collegiate Novice,C,4,SDSU,6:49.93,,,,,,,,,,,
18,,Mens Collegiate Novice,C,5,UCD,6:50.41,,,,,,,,,,,
18,,Mens Collegiate Novice,C,6,Rollins,6:54.69,,,,,,,,,,,
18,,Mens Collegiate Novice,C,7,Chapman,7:32.67,,,,,,,,,,,
19,,Womens Collegiate 2V,A,1,UCLA,6:46.11,,,,,,,,,,,
19,,Womens Collegiate 2V,A,2,Cal,6:53.64,,,,,,,,,,,
19,,Womens Collegiate 2V,A,3,Washington St.,6:56.40,,,,,,,,,,,
19,,Womens Collegiate 2V,A,4,Oklahoma,6:58.37,,,,,,,,,,,
19,,Womens Collegiate 2V,A,5,Iowa,7:02.59,,,,,,,,,,,
19,,Womens Collegiate 2V,A,6,Alabama,7:10.43,,,,,,,,,,,
19,,Womens Collegiate 2V,A,7,Sac State,7:12.90,,,,,,,,,,,
20,,Womens Collegiate 2V,B,1,Virginia,6:52.38,,,,,,,,,,,
20,,Womens Collegiate 2V,B,2,Washington,6:54.20,,,,,,,,,,,
20,,Womens Collegiate 2V,B,3,Texas,7:01.22,,,,,,,,,,,
20,,Womens Collegiate 2V,B,4,Tennessee,7:01.24,,,,,,,,,,,
20,,Womens Collegiate 2V,B,5,KSU,7:12.61,,,,,,,,,,,
20,,Womens Collegiate 2V,B,6,Duke,7:13.34,,,,,,,,,,,
20,,Womens Collegiate 2V,B,7,Tulsa,7:14.08,,,,,,,,,,,
21,,Womens Collegiate 2V,C,1,Stanford,6:51.98,,,,,,,,,,,
21,,Womens Collegiate 2V,C,2,USC,6:54.73,,,,,,,,,,,
21,,Womens Collegiate 2V,C,3,Clemson,6:57.38,,,,,,,,,,,
21,,Womens Collegiate 2V,C,4,Oregon St,7:05.37,,,,,,,,,,,
21,,Womens Collegiate 2V,C,5,Gonzaga,7:06.75,,,,,,,,,,,
21,,Womens Collegiate 2V,C,6,USD,7:14.21,,,,,,,,,,,
21,,Womens Collegiate 2V,C,7,SMU,7:36.63,,,,,,,,,,,
22,,Mens Collegiate 2V,A,1,Cal A,6:00.26,,,,,,,,,,,
22,,Mens Collegiate 2V,A,2,Cal B,6:10.58,,,,,,,,,,,
22,,Mens Collegiate 2V,A,3,Stanford,6:10.95,,,,,,,,,,,
22,,Mens Collegiate 2V,A,4,UCSB,6:24.72,,,,,,,,,,,
22,,Mens Collegiate 2V,A,5,Gonzaga,6:28.03,,,,,,,,,,,
22,,Mens Collegiate 2V,A,6,Washington St.,6:39.93,,,,,,,,,,,
22,,Mens Collegiate 2V,A,7,Santa Clara,6:41.57,,,,,,,,,,,
23,,Mens Collegiate 2V,B,1,Harvard,5:58.70,,,,,,,,,,,
23,,Mens Collegiate 2V,B,2,Cornell,6:04.41,,,,,,,,,,,
23,,Mens Collegiate 2V,B,3,UCD,6:27.51,,,,,,,,,,,
23,,Mens Collegiate 2V,B,4,UCSD,6:27.80,,,,,,,,,,,
23,,Mens Collegiate 2V,B,5,USD,6:35.05,,,,,,,,,,,
23,,Mens Collegiate 2V,B,6,UCLA,6:37.24,,,,,,,,,,,
23,,Mens Collegiate 2V,B,7,OCC,6:46.14,,,,,,,,,,,
24,,Womens Collegiate Novice,A,1,Minnesota A,7:08.77,,,,,,,,,,,
24,,Womens Collegiate Novice,A,2,Oklahoma,7:11.6,,,,,,,,,,,
24,,Womens Collegiate Novice,A,3,Stanford,7:24.44,,,,,,,,,,,
24,,Womens Collegiate Novice,A,4,Sac State,7:25.13,,,,,,,,,,,
24,,Womens Collegiate Novice,A,5,OCC,7:32.28,,,,,,,,,,,
24,,Womens Collegiate Novice,A,6,USD,7:35.89,,,,,,,,,,,
24,,Womens Collegiate Novice,A,7,UCI,8:02.10,,,,,,,,,,,
25,,Womens Collegiate Novice,B,1,Washington,6:58.26,,,,,,,,,,,
25,,Womens Collegiate Novice,B,2,Washington St.,7:01.03,,,,,,,,,,,
25,,Womens Collegiate Novice,B,3,Oregon St,7:03.01,,,,,,,,,,,
25,,Womens Collegiate Novice,B,4,KSU,7:09.14,,,,,,,,,,,
25,,Womens Collegiate Novice,B,5,Texas A,7:10.57,,,,,,,,,,,
25,,Womens Collegiate Novice,B,6,UCD,7:29.28,,,,,,,,,,,
25,,Womens Collegiate Novice,B,7,St. Marys,7:35.93,,,,,,,,,,,
26,,Womens Collegiate Novice,C,1,Cal,6:53.04,,,,,,,,,,,
26,,Womens Collegiate Novice,C,2,UCLA,6:56.03,,,,,,,,,,,
26,,Womens Collegiate Novice,C,3,Texas B,7:06.02,,,,,,,,,,,
26,,Womens Collegiate Novice,C,4,USC,7:08.62,,,,,,,,,,,
26,,Womens Collegiate Novice,C,5,Clemson,7:13.19,,,,,,,,,,,
26,,Womens Collegiate Novice,C,6,Minnesota B,7:27.45,,,,,,,,,,,
26,,Womens Collegiate Novice,C,7,SDSU,7:27.62,,,,,,,,,,,
27,,Mens Junior,A,1,Marin,6:11.94,,,,,,,,,,,
27,,Mens Junior,A,2,Long Beach Jr,6:20.80,,,,,,,,,,,
27,,Mens Junior,A,3,Oak Strokes,6:21.99,,,,,,,,,,,
27,,Mens Junior,A,4,SDRC,6:34.22,,,,,,,,,,,
27,,Mens Junior,A,,,,,,,,,,,,,,
27,,Mens Junior,A,,,,,,,,,,,,,,
27,,Mens Junior,A,,,,,,,,,,,,,,
28,,Mens Junior,B,1,St. Ignatius,6:23.00,,,,,,,,,,,
28,,Mens Junior,B,2,Newport AC,6:23.46,,,,,,,,,,,
28,,Mens Junior,B,3,Los Gatos,6:26.38,,,,,,,,,,,
28,,Mens Junior,B,4,Dallas Jesuit Prep,6:38.40,,,,,,,,,,,
28,,Mens Junior,B,5,Claremont,7:00.67,,,,,,,,,,,
28,,Mens Junior,B,6,Cathedral,7:19.00,,,,,,,,,,,
28,,Mens Junior,B,,,,,,,,,,,,,,
29,,Mens Junior,C,1,Everett,6:16.00,,,,,,,,,,,
29,,Mens Junior,C,2,Marina AC,6:19.30,,,,,,,,,,,
29,,Mens Junior,C,3,Capital,6:23.62,,,,,,,,,,,
29,,Mens Junior,C,4,River City,6:24.80,,,,,,,,,,,
29,,Mens Junior,C,5,OKC Rowing,6:24.93,,,,,,,,,,,
29,,Mens Junior,C,6,Belen Jes Prep,6:55.72,,,,,,,,,,,
29,,Mens Junior,C,,,,,,,,,,,,,,
30,,Womens Junior,A,1,Oak Strokes,6:55.15,,,,,,,,,,,
30,,Womens Junior,A,2,Long Beach Jr,7:04.45,,,,,,,,,,,
30,,Womens Junior,A,3,Los Gatos,7:07.14,,,,,,,,,,,
30,,Womens Junior,A,4,OKC Rowing,7:12.21,,,,,,,,,,,
30,,Womens Junior,A,5,Capital,7:21.59,,,,,,,,,,,
30,,Womens Junior,A,6,ZLAC,7:22.90,,,,,,,,,,,
30,,Womens Junior,A,,,,,,,,,,,,,,
31,,Womens Junior,B,1,Marin,7:04.77,,,,,,,,,,,
31,,Womens Junior,B,2,Marina AC,7:08.75,,,,,,,,,,,
31,,Womens Junior,B,3,River City,7:12.06,,,,,,,,,,,
31,,Womens Junior,B,4,St. Ignatius,7:20.43,,,,,,,,,,,
31,,Womens Junior,B,5,SDRC,7:25.49,,,,,,,,,,,
31,,Womens Junior,B,6,Cathedral,8:21.27,,,,,,,,,,,
31,,Womens Junior,B,,,,,,,,,,,,,,
32,,Womens Junior,C,1,Connecticut,7:07.88,,,,,,,,,,,
32,,Womens Junior,C,2,Upper Natoma,7:12.42,,,,,,,,,,,
32,,Womens Junior,C,3,Pocock,7:18.34,,,,,,,,,,,
32,,Womens Junior,C,4,Newport AC,7:23.71,,,,,,,,,,,
32,,Womens Junior,C,5,Bainbridge,7:28.22,,,,,,,,,,,
32,,Womens Junior,C,6,Xavier,7:30.43,,,,,,,,,,,
32,,Womens Junior,C,,,,,,,,,,,,,,
33,,Mens Junior LW,A,1,Marin,6:28.23,,,,,,,,,,,
33,,Mens Junior LW,A,2,Oak Strokes,6:31.61,,,,,,,,,,,
33,,Mens Junior LW,A,3,Los Gatos,6:34.94,,,,,,,,,,,
33,,Mens Junior LW,A,4,New CanaanHS,6:37.02,,,,,,,,,,,
33,,Mens Junior LW,A,5,NorCal,6:39.31,,,,,,,,,,,
33,,Mens Junior LW,A,6,Capital,6:41.18,,,,,,,,,,,
33,,Mens Junior LW,A,7,Lake Union,6:42.49,,,,,,,,,,,
34,,Mens Junior LW,B,1,Long Beach Jr,6:31.84,,,,,,,,,,,
34,,Mens Junior LW,B,2,Newport AC,6:33.69,,,,,,,,,,,
34,,Mens Junior LW,B,3,Belen Jes Prep,6:34.73,,,,,,,,,,,
34,,Mens Junior LW,B,4,Everett,6:35.80,,,,,,,,,,,
34,,Mens Junior LW,B,5,Marina AC,7:06.32,,,,,,,,,,,
34,,Mens Junior LW,B,6,SDRC,7:09.58,,,,,,,,,,,
34,,Mens Junior LW,B,,,,,,,,,,,,,,
35,,Mens Masters F+,Final,1,Kent Mitchell,6:17.0,,,,,,,,,,,
35,,Mens Masters F+,Final,2,LBRA,6:17.9,,,,,,,,,,,
35,,Mens Masters F+,Final,3,SDRC A,6:22.8,,,,,,,,,,,
35,,Mens Masters F+,Final,4,Ancient Mar,6:30.3,,,,,,,,,,,
35,,Mens Masters F+,Final,5,SDRC B,6:37.9,,,,,,,,,,,
35,,Mens Masters F+,Final,6,Rocky Mtn.,6:55.0,,,,,,,,,,,
35,,Mens Masters F+,Final,7,Casitas RA,7:00.4,,,,,,,,,,,
36,Campland on the Bay Trophy,Womens Masters F+,Final,1,Marthas Moms,7:21.0,,,,,,,,,,,
36,Campland on the Bay Trophy,Womens Masters F+,Final,2,SDRC,7:32.2,,,,,,,,,,,
36,Campland on the Bay Trophy,Womens Masters F+,Final,3,Marin,7:32..7,,,,,,,,,,,
36,Campland on the Bay Trophy,Womens Masters F+,Final,4,Montlake RC,7:35.8,,,,,,,,,,,
36,Campland on the Bay Trophy,Womens Masters F+,Final,5,Los Gatos,8:02.4,,,,,,,,,,,
36,Campland on the Bay Trophy,Womens Masters F+,Final,6,ZLAC,8:35.3,,,,,,,,,,,
36,Campland on the Bay Trophy,Womens Masters F+,Final,,,,,,,,,,,,,,
37,,Womens Open,A,1,UCLA,7:17.28,,,,,,,,,,,
37,,Womens Open,A,2,BMA,7:21.30,,,,,,,,,,,
37,,Womens Open,A,3,USD,7:22.78,,,,,,,,,,,
37,,Womens Open,A,4,Brit Columbia,7:23.33,,,,,,,,,,,
37,,Womens Open,A,5,UCSD,7:51.58,,,,,,,,,,,
37,,Womens Open,A,6,RAF,8:25.73,,,,,,,,,,,
37,,Womens Open,A,7,UCI,8:27.23,,,,,,,,,,,
38,,Womens Open,B,1,Temple,6:56.46,,,,,,,,,,,
38,,Womens Open,B,2,Cal,7:00.52,,,,,,,,,,,
38,,Womens Open,B,3,Union BC,7:05.94,,,,,,,,,,,
38,,Womens Open,B,4,Miami,7:23.04,,,,,,,,,,,
38,,Womens Open,B,5,Colorado RC,7:26.85,,,,,,,,,,,
38,,Womens Open,B,6,SDSU,7:26.99,,,,,,,,,,,
38,,Womens Open,B,7,UCSD B,8:47.94,,,,,,,,,,,
39,,Mens Open,A,1,Little Knights,6:13.97,,,,,,,,,,,
39,,Mens Open,A,2,Boston College,6:14.71,,,,,,,,,,,
39,,Mens Open,A,3,Union BC,6:14.75,,,,,,,,,,,
39,,Mens Open,A,4,Notre Dame Al B,6:38.89,,,,,,,,,,,
39,,Mens Open,A,5,UCLA,6:54.67,,,,,,,,,,,
39,,Mens Open,A,6,UCSB A,7:03.47,,,,,,,,,,,
39,,Mens Open,A,7,UCSD Alum B,7:14.82,,,,,,,,,,,
40,,Mens Open,B,1,USC,6:34.69,,,,,,,,,,,
40,,Mens Open,B,2,UCSD,6:39.45,,,,,,,,,,,
40,,Mens Open,B,3,USD,6:45.38,,,,,,,,,,,
40,,Mens Open,B,4,UCSB B,6:53.45,,,,,,,,,,,
40,,Mens Open,B,5,Lincoln Park,6:58.21,,,,,,,,,,,
40,,Mens Open,B,,,,,,,,,,,,,,
40,,Mens Open,B,,,,,,,,,,,,,,
41,,Mens Open,C,1,California RC,6:08.39,,,,,,,,,,,
41,,Mens Open,C,2,Cal,6:16.30,,,,,,,,,,,
41,,Mens Open,C,3,UCSB C,6:53.00,,,,,,,,,,,
41,,Mens Open,C,4,Santa Clara Al,6:54.93,,,,,,,,,,,
41,,Mens Open,C,5,RAF,6:56.03,,,,,,,,,,,
41,,Mens Open,C,6,Notre Dame Al B,7:05.15,,,,,,,,,,,
41,,Mens Open,C,7,UCSD Alum A,7:06.31,,,,,,,,,,,
42,,Mens Junior JV,A,1,Marin,6:20.15,,,,,,,,,,,
42,,Mens Junior JV,A,2,Baja St Rowing,6:25.77,,,,,,,,,,,
42,,Mens Junior JV,A,3,Newport AC,6:27.92,,,,,,,,,,,
42,,Mens Junior JV,A,4,OKC Rowing,6:45.19,,,,,,,,,,,
42,,Mens Junior JV,A,5,SDRC B,8:43.48,,,,,,,,,,,
42,,Mens Junior JV,A,,,,,,,,,,,,,,
42,,Mens Junior JV,A,,,,,,,,,,,,,,
43,,Mens Junior JV,B,1,St. Ignatius,6:27.20,,,,,,,,,,,
43,,Mens Junior JV,B,2,Los Gatos,6:27.62,,,,,,,,,,,
43,,Mens Junior JV,B,3,Oak Strokes,6:29.11,,,,,,,,,,,
43,,Mens Junior JV,B,4,Marina AC,6:35.81,,,,,,,,,,,
43,,Mens Junior JV,B,5,SDRC A,6:54.93,,,,,,,,,,,
43,,Mens Junior JV,B,6,Belen Jes Prep,7:01.41,,,,,,,,,,,
43,,Mens Junior JV,B,,,,,,,,,,,,,,
44,,Womens Junior JV,A,1,Oak Strokes A,7:01.36,,,,,,,,,,,
44,,Womens Junior JV,A,2,Los Gatos,7:12.88,,,,,,,,,,,
44,,Womens Junior JV,A,3,SDRC A,7:18.05,,,,,,,,,,,
44,,Womens Junior JV,A,4,OKC Rowing,7:22.99,,,,,,,,,,,
44,,Womens Junior JV,A,5,Long Beach Jr,7:27.76,,,,,,,,,,,
44,,Womens Junior JV,A,6,Xavier B,7:45.28,,,,,,,,,,,
44,,Womens Junior JV,A,,,,,,,,,,,,,,
45,,Womens Junior JV,B,1,Marin,6:59.83,,,,,,,,,,,
45,,Womens Junior JV,B,2,Oak Strokes B,7:01.49,,,,,,,,,,,
45,,Womens Junior JV,B,3,St. Ignatius,7:12.22,,,,,,,,,,,
45,,Womens Junior JV,B,4,River City,7:20.79,,,,,,,,,,,
45,,Womens Junior JV,B,5,Xavier A,7:37.36,,,,,,,,,,,
45,,Womens Junior JV,B,6,SDRC B,7:59.98,,,,,,,,,,,
45,,Womens Junior JV,B,7,Marina AC,10:26.69,,,,,,,,,,,
46,,Womens Junior JV,C,1,Newport AC,7:12.95,,,,,,,,,,,
46,,Womens Junior JV,C,2,Connecticut,7:18.59,,,,,,,,,,,
46,,Womens Junior JV,C,3,Pocock,7:21.28,,,,,,,,,,,
46,,Womens Junior JV,C,4,Upper Natoma,7:27.27,,,,,,,,,,,
46,,Womens Junior JV,C,5,ZLAC,7:33.60,,,,,,,,,,,
46,,Womens Junior JV,C,6,Cathedral,8:54.38,,,,,,,,,,,
46,,Womens Junior JV,C,,,,,,,,,,,,,,
47,,Mens Collegiate Varsity,3RD,1,Rollins,6:17.63,,,,,,,,,,,
47,,Mens Collegiate Varsity,3RD,2,Washington St.,6:19.79,,,,,,,,,,,
47,,Mens Collegiate Varsity,3RD,3,Santa Clara,6:24.67,,,,,,,,,,,
47,,Mens Collegiate Varsity,3RD,4,Cal LW,6:32.26,,,,,,,,,,,
47,,Mens Collegiate Varsity,3RD,5,ASU,6:34.50,,,,,,,,,,,
47,,Mens Collegiate Varsity,3RD,6,Chapman,6:41.17,,,,,,,,,,,
47,,Mens Collegiate Varsity,3RD,,,,,,,,,,,,,,
48,,Womens Collegiate Varsity,3RD,1,Miami,6:49.69,,,,,,,,,,,
48,,Womens Collegiate Varsity,3RD,2,St. Joseph's,6:54.51,,,,,,,,,,,
48,,Womens Collegiate Varsity,3RD,3,UCD,6:57.78,,,,,,,,,,,
48,,Womens Collegiate Varsity,3RD,4,Drexel,6:59.72,,,,,,,,,,,
