Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
1,,Mens Collegiate Varsity,A,1,Brit. Columbia,5:59.30,,,,,,,,,,,
1,,Mens Collegiate Varsity,A,2,UCI,6:02.80,,,,,,,,,,,
1,,Mens Collegiate Varsity,A,3,Fordham,6:05.39,,,,,,,,,,,
1,,Mens Collegiate Varsity,A,4,Purdue,6:05.65,,,,,,,,,,,
1,,Mens Collegiate Varsity,A,5,OCC,6:05.73,,,,,,,,,,,
1,,Mens Collegiate Varsity,A,6,Sonoma,6:16.36,,,,,,,,,,,
1,,Mens Collegiate Varsity,A,7,Long Beach,6:54.18,,,,,,,,,,,
2,,Mens Collegiate Varsity,B,1,Notre Dame,6:05.10,,,,,,,,,,,
2,,Mens Collegiate Varsity,B,2,UCLA,6:07.11,,,,,,,,,,,
2,,Mens Collegiate Varsity,B,3,Sac State,6:08.21,,,,,,,,,,,
2,,Mens Collegiate Varsity,B,4,Bates,6:13.47,,,,,,,,,,,
2,,Mens Collegiate Varsity,B,5,UCSB,6:14.83,,,,,,,,,,,
2,,Mens Collegiate Varsity,B,6,UCD,6:15.12,,,,,,,,,,,
2,,Mens Collegiate Varsity,B,7,Loyola,6:21.69,,,,,,,,,,,
3,,Mens Collegiate Varsity,C,1,Drexel,6:03.70,,,,,,,,,,,
3,,Mens Collegiate Varsity,C,2,Oklahoma City,6:05.64,,,,,,,,,,,
3,,Mens Collegiate Varsity,C,3,USD,6:08.41,,,,,,,,,,,
3,,Mens Collegiate Varsity,C,4,Washington St.,6:09.06,,,,,,,,,,,
3,,Mens Collegiate Varsity,C,5,Minnesota,6:12.56,,,,,,,,,,,
3,,Mens Collegiate Varsity,C,6,Cal LW,6:21.10,,,,,,,,,,,
3,,Mens Collegiate Varsity,C,7,ASU,6:59.23,,,,,,,,,,,
4,,Womens Collegiate Varsity,A,1,KSU,6:46.10,,,,,,,,,,,
4,,Womens Collegiate Varsity,A,2,Stanford LW,6:48.29,,,,,,,,,,,
4,,Womens Collegiate Varsity,A,3,SDSU,6:53.96,,,,,,,,,,,
4,,Womens Collegiate Varsity,A,4,Drexel,6:55.45,,,,,,,,,,,
4,,Womens Collegiate Varsity,A,5,Loyola,7:06.55,,,,,,,,,,,
